timestamp,ax,ay,az,wx,wy,wz
26,-0.02274,-1.56282,9.74739,-3.72314,29.47996,-10.99395
54,0.20351,-1.47662,9.6636,-0.12207,31.67722,-10.20049
77,0.34955,-1.54965,10.04427,-2.19726,48.46188,-13.74053
100,0.22625,-1.71844,9.71866,1.0376,46.7529,-16.79228
123,-0.31364,-1.74837,9.95449,7.69042,9.88769,-18.44023
147,-0.11492,-1.70407,10.78408,10.19286,28.56443,-18.3792
172,-0.0838,-1.70886,10.3208,10.92528,66.52827,-12.45879
198,0.43455,-1.41916,10.37348,14.16015,102.23381,-12.21465
221,0.62608,-1.22763,11.26173,40.46628,121.94815,-14.10674
245,-0.82121,-1.20249,10.79605,51.51363,178.64977,-9.71221
268,-1.15401,-0.62549,8.46769,45.34909,212.15804,-9.10186
292,-2.32477,-0.88047,5.19123,-3.60107,222.04573,-5.01251
315,-1.96803,-0.9104,1.96504,-46.69186,207.51936,-6.17218
339,-2.20147,-1.03011,4.6645,-44.92184,196.16684,-7.02667
364,-3.5518,-1.95427,8.01279,-29.96824,171.69176,-9.10186
386,-3.9217,-2.24397,8.43537,-13.42772,156.37195,-15.99883
410,-4.76446,-2.47979,8.25581,-4.27246,144.40907,-19.78301
435,-5.43364,-2.46543,7.61655,2.13623,116.21085,-24.66581
460,-5.26485,-2.57197,6.25425,-8.66699,74.64594,-36.87284
485,-7.12634,-2.96582,6.74387,-11.10839,43.27389,-40.84012
511,-7.32147,-2.92512,6.92583,-6.10351,33.02,-39.86356
534,-7.50103,-2.83174,6.05434,-8.78906,30.02928,-35.10282
558,-7.83263,-2.92512,4.3341,-30.09031,38.02488,-33.3328
582,-9.46428,-3.07834,4.63218,-35.82761,57.373,-28.02275
607,-11.15339,-3.28664,4.22517,-33.63034,91.18645,-14.16778
633,-10.68772,-3.11545,1.33058,-58.47164,72.44868,-13.19121
657,-9.8282,-3.21122,-0.90202,-97.5341,29.60203,-19.17265
681,-10.95706,-3.222,2.5169,-101.25725,7.87353,-12.33672
704,-10.12628,-3.01969,3.50451,-96.06927,28.01512,-5.31768
729,-9.0022,-2.82336,3.15616,-101.19621,46.87497,-10.26153
761,-10.15141,-2.55521,5.28221,-62.86616,43.457,-7.63702
787,-10.69729,-3.137,4.10187,-40.03903,41.50388,1.27411
814,-11.3533,-3.76309,2.49895,-42.72458,44.92184,11.77215
838,-12.07276,-3.99173,1.76513,-43.21286,36.13279,22.57536
860,-11.31619,-3.61584,1.82977,-41.38181,34.4238,26.05436
907,-8.67898,-3.38839,2.60549,-36.25486,38.51316,13.84734
929,-8.02177,-3.28185,3.25791,-19.95848,26.4282,4.69207
955,-7.58962,-2.97779,3.65176,3.72314,20.87401,-5.13458
979,-10.02332,-3.64218,2.14101,14.22118,19.40917,-0.06866
1000,-9.92516,-3.66971,1.42635,11.71874,26.97752,6.76727
1023,-8.81186,-3.12383,1.17615,5.49316,33.08103,4.50897
1056,-8.588,-2.74076,1.1558,11.35253,14.34325,-0.3128
1081,-9.85214,-2.79463,-0.40881,5.12695,3.84521,1.64032
1102,-10.08797,-2.86646,-0.9511,-12.81737,-5.55419,0.48065
1123,-11.34014,-3.1382,-0.2879,-22.9492,2.56347,9.26971
1144,-12.06438,-3.43269,0.06404,-25.32957,1.40381,23.06364
1165,-11.30422,-3.31657,0.44472,-31.18894,13.54979,30.93717
1186,-10.72722,-3.24594,0.88166,-32.1655,21.54539,35.27066
1208,-10.43752,-3.16094,1.50895,-24.90232,26.18406,37.46793
1230,-10.49379,-3.35368,1.76393,-6.65283,22.82713,39.11588
1252,-9.98741,-3.14179,1.51254,1.46484,32.47068,34.35514
1274,-10.10353,-3.03525,0.2903,-5.67627,19.71434,30.93717
1294,-10.74159,-3.11426,-1.15939,-15.86913,6.40869,33.43961
1315,-11.29584,-3.3872,-1.6933,-27.28269,-5.67627,37.52896
1337,-11.17972,-3.49374,-1.73041,-40.1611,-20.5078,43.02213
1358,-10.66497,-3.65654,-1.09235,-49.31637,-25.63475,49.85806
1379,-8.90643,-3.0975,-0.34417,-48.76705,-21.30125,47.96597
1401,-8.0122,-2.62823,-0.97264,-61.27925,-16.84569,43.87662
1423,-8.03135,-2.44987,-1.00497,-71.35004,-19.34813,41.61832
1445,-7.16944,-2.1889,-0.21608,-76.23286,-16.54052,29.47233
