timestamp,ax,ay,az,wx,wy,wz
27,0.20291,3.36086,8.61733,-9.35363,6.21795,15.23589
58,0.13587,3.38361,9.33799,-5.93566,5.97381,15.17486
87,0.22685,3.35488,9.30925,-4.04358,7.56072,16.39556
115,0.42677,3.27467,9.32841,-3.25012,15.73943,15.35796
144,0.12031,3.1813,9.26496,-4.10461,18.1198,16.70073
173,0.47824,3.2208,9.74979,1.51062,19.82878,11.57378
201,0.19333,3.07356,9.31045,5.41687,4.32586,10.29205
232,0.37529,2.91075,8.84358,-1.60217,3.71551,11.39068
260,1.00856,3.35488,8.8352,-20.03477,11.46697,9.37652
286,0.24361,3.43388,10.05026,-19.30235,17.38738,8.8272
312,0.32022,2.66654,10.31721,-7.94982,3.83758,6.14166
338,0.69492,2.47022,11.08575,-4.04358,7.49969,-0.32806
365,0.9487,2.24995,10.92414,-6.91223,17.0822,-6.24847
392,0.44113,1.48022,9.94492,-4.83703,19.58464,-1.79291
419,0.4124,1.50176,9.36312,5.90515,-5.80596,-2.89154
445,0.5369,1.72682,9.63487,15.85387,-8.3084,5.40924
471,1.04926,1.79864,9.47086,16.40319,-13.31328,6.32476
497,1.4455,2.23559,8.91062,11.15417,-22.95683,2.17438
522,2.00455,1.81301,8.64127,10.11657,-44.68533,4.24957
548,1.51493,3.03645,9.70071,9.01794,-17.64678,-2.40326
574,1.35811,3.28305,9.01357,-1.41907,5.30243,-10.21575
599,0.75357,2.81139,7.88111,-16.00646,6.34002,-4.53949
625,0.75717,2.311,8.33003,-20.64513,8.11004,-0.51117
652,0.76555,2.50374,9.06265,-13.93126,20.25603,3.33404
677,1.38445,3.12383,8.26778,-11.36779,17.75359,-6.43157
702,1.08996,2.62823,8.19475,-9.4757,18.48601,-6.00433
727,1.14263,2.48698,6.94019,-20.64513,7.98797,-2.46429
752,1.37487,1.73879,5.6976,-43.89951,-32.84452,22.07182
784,2.49655,2.80301,7.8452,-36.7584,-22.0413,24.14701
816,3.30101,2.26312,7.24545,-13.9923,-67.26832,29.70121
851,7.18799,2.05243,7.4741,21.16393,-101.81419,-1.91498
883,6.25425,1.87047,6.00526,11.09313,-121.77267,-20.95793
914,3.83012,1.34015,3.31776,-6.1798,-158.3327,-27.00041
944,2.19488,0.78709,2.7683,-46.58505,-219.85609,-1.6098
971,2.82336,-0.37769,5.31932,-87.5396,-180.79362,16.45659
996,1.69809,-1.78667,6.57029,-98.34282,-203.74283,48.31692
1026,2.5169,-3.25671,10.90619,-100.29594,-217.71988,80.42139
1061,3.56078,-5.02962,14.32391,-89.91998,-134.40695,128.27292
1096,5.25228,-4.78062,18.33899,-28.57969,-88.50854,170.08197
1130,10.24419,-2.04046,17.89965,37.58237,-18.74541,145.91206
1164,10.37228,-1.54606,13.82951,57.23567,-32.2952,132.97263
1195,11.99435,-0.9092,11.97759,95.07745,-52.61989,106.23924
1223,11.37066,-0.90561,10.76852,143.41725,-54.20681,76.4541
1254,10.19272,-0.62429,7.94576,155.92944,-52.61989,59.91359
1287,6.53318,-0.86251,4.11264,157.45532,-35.04178,43.73928
1319,4.73154,-0.85892,3.90674,156.84499,-46.0281,69.00782
1353,3.45663,-0.56683,0.72245,141.70827,-107.85667,102.14989
1385,7.26221,-0.51894,-0.0006,113.02177,-128.91379,118.99558
1413,7.07906,-0.4136,2.78984,93.97881,-81.79468,136.69576
1438,6.67084,-1.01574,3.50332,87.6922,-73.00562,154.02972
1468,6.57029,-2.1889,2.90596,90.43877,-93.39135,171.79095
1502,7.66923,-2.26073,-0.75956,25.19224,-129.03586,204.3837
1530,7.59261,-7.36516,0.9068,-14.23644,-143.25703,272.4989
1554,12.20145,-7.54114,6.83604,6.94274,-157.96649,285.98764
1584,24.94818,-2.2703,8.65205,51.62045,-136.6042,158.60736
1616,17.43996,-2.8473,2.53366,-17.83751,-36.20145,101.60057
1647,8.7933,-8.24862,0.22326,-48.66024,-79.78052,110.87791
1679,8.31207,-8.5491,0.35733,-29.73936,-162.42206,106.91063
1713,6.98927,-8.30728,1.70527,-7.15637,-168.95282,66.99367
1742,0.02933,-11.44967,1.82977,-7.0343,-142.82979,97.20605
1770,3.17651,-10.75176,4.92308,50.94906,-97.29759,50.57522
1802,7.82844,-10.8595,0.76435,-5.56945,37.28482,-37.37638
1834,-1.06602,-12.92809,-0.43754,-52.20028,-17.15849,39.772
1867,-0.71646,-8.00441,-7.39988,-172.92772,-9.40704,129.06638
1900,8.66402,-2.67253,7.97568,27.08433,-111.09153,59.12014
1930,11.26292,-2.94786,4.85604,74.1424,6.40106,20.36284
1962,10.92055,-2.82097,-5.88674,19.2108,104.05724,-46.40957
1990,10.05864,-3.95702,-6.22073,-53.90926,198.0513,-110.86265
2021,-8.52994,-14.14674,4.46578,24.45982,21.04948,-44.82266
2051,-0.62908,-13.02266,3.40396,87.50909,18.97429,-12.77923
2081,2.67492,-6.55592,-0.44951,60.59261,-20.6375,-11.92474
2111,1.46226,-9.84436,-0.91758,-8.37707,-58.41823,66.68848
2142,6.59423,-9.05667,-7.30651,-127.3345,-136.4211,101.53954
2174,7.58184,-8.87351,-6.36678,-281.44815,-117.01193,112.09861
2203,11.42812,-9.40383,0.85892,-151.56543,297.17233,43.86136
2234,16.24166,-6.81569,-10.28848,-72.70808,129.32576,-87.66931
2266,2.11468,-8.92498,12.39059,109.84794,-111.27464,-49.46133
2299,-4.74471,-12.75212,-20.15379,-2.63977,-206.73354,92.07909
2329,-3.89836,-10.51713,-2.67372,-62.39314,23.00261,202.3085
2361,2.8473,-6.19081,5.40431,21.71324,298.27094,149.26898
2393,3.56197,-7.07546,1.55084,39.53549,49.30874,120.46043
2423,0.65062,-16.96352,-5.76344,30.99058,-263.13,195.89981
2454,2.68929,-14.3299,2.45466,93.6126,-19.47783,141.57857
2484,-0.26037,-10.14124,1.76991,139.08376,117.85117,77.91895
2516,-3.2208,-10.59973,-5.66289,67.0013,-86.12817,42.88479
2549,-4.64535,-10.22025,-1.11271,69.68684,-224.3727,50.63625
2581,0.10714,-9.86591,1.15341,128.52467,-146.85811,39.95511
2613,2.47381,-8.6712,-1.4048,100.81474,104.60655,-10.45989
2645,0.68654,-10.50755,-2.00095,51.55941,160.02643,-9.54437
2676,-0.70449,-10.37587,-0.88765,46.31039,79.09388,29.335
2709,1.34494,-9.70669,-2.21045,41.79379,-3.54767,37.14749
2741,3.50451,-11.37186,-1.02053,22.07945,-2.69317,8.88824
2772,2.33255,-11.84471,-0.54648,-6.05773,-10.13946,6.3858
2803,0.56204,-11.73099,0.14305,-18.5089,41.61832,-8.5678
2834,0.63027,-13.57093,-1.9806,-44.08261,35.88102,-26.93937
2864,1.12707,-11.53467,-3.1382,-113.35746,1.88446,-30.72355
2896,-0.94272,-11.03069,2.52289,-164.26074,27.58024,-49.64444
2927,-3.06278,-12.11047,3.56556,-175.67432,116.32529,-51.90273
2958,-5.08828,-15.26723,0.01975,-142.41017,157.8902,-43.90714
2990,-4.89674,-15.17505,-3.67211,-90.8355,66.58167,-11.19231
3020,-0.38607,-8.75141,-1.24319,-56.89998,28.5568,-20.40862
3050,0.36332,-7.20475,-0.31783,-46.95126,41.61832,-34.87394
3082,0.55246,-6.71633,0.12869,-44.57089,37.16275,-38.90226
3113,0.38367,-6.48051,0.08679,-39.01669,-11.66534,-37.01017
3143,-0.0401,-6.28418,-0.93314,-33.6456,-53.8406,-30.47941
3175,-2.54204,-5.84724,0.47585,-5.20324,-73.37183,-13.51165
3206,-3.30101,-5.44501,0.61112,21.71324,-53.47439,9.98687
3237,-2.96462,-5.54557,-0.81822,46.61557,-41.57254,34.40091
3266,-2.21763,-6.38833,-2.49057,67.85578,-62.26344,48.62209
3298,1.82498,-10.28729,-10.29806,49.30111,-65.80347,35.19437
3331,5.80534,-14.58607,-12.60368,-70.51081,10.85662,-37.31534
3363,2.53007,-15.55333,-7.69197,-69.77839,-30.64725,-53.12344
3394,-0.23044,-3.67809,-5.0799,-10.26916,14.33562,-24.86418
3423,1.26593,-5.73591,-8.0511,10.1776,13.84734,11.32964
3451,-0.20889,-17.25202,4.67408,19.51598,-152.5954,-8.75091
3479,-5.35044,-15.2373,7.15208,-10.75744,-62.81276,14.50347
3511,-5.07511,-9.63008,3.65415,-46.46298,-15.20537,21.40044
3541,-5.51325,-6.08427,0.29149,98.80058,-116.88986,35.49955
3573,-1.2396,-12.9233,8.73106,172.83618,34.23307,12.61138
3604,0.00898,-12.51389,4.47656,163.07056,116.02012,-8.26263
3635,0.34417,-7.68718,-5.19721,70.41926,131.88925,7.17925
3664,-0.34895,-6.63373,-5.50247,46.73764,58.15883,19.32524
3694,0.0006,-8.58142,-0.30227,64.62093,-17.40264,16.70073
3724,-0.42437,-9.66958,0.59795,69.68684,-34.06522,14.93071
3755,-0.29748,-10.11849,0.4148,59.06673,11.89422,19.81352
3786,0.26635,-9.39904,-0.23523,58.27327,61.5768,23.23149
3818,1.25636,-8.95252,-1.87765,64.743,42.96109,24.26909
3848,1.09834,-9.84795,-1.91357,58.33431,-35.95731,20.72905
3879,0.44233,-9.98562,1.24678,60.28743,-1.53351,19.87456
3910,0.26276,-10.96485,-2.02729,47.7142,52.84878,16.94487
3940,0.43515,-11.68191,-3.43508,-13.25988,-19.23369,28.60258
3969,2.59472,-11.04266,0.77393,-29.9835,-41.45047,18.83696
4000,1.21326,-10.78408,1.48859,-4.16565,42.83902,-7.46917
4030,-0.01616,-12.97717,-2.33255,-27.35899,34.59928,-27.8549
4060,-0.33938,-11.99196,-3.81935,-89.00445,2.61688,-24.31486
4090,0.48303,-10.13286,-0.80026,-145.15675,-24.17753,-37.0712
4119,-0.96187,-11.42214,1.65739,-168.28906,9.69695,-47.01992
4150,-3.83132,-14.59086,4.61542,-132.21732,83.73254,-44.45645
4180,-5.31094,-15.72093,0.96546,-80.82574,126.9454,-29.25871
4209,-2.78984,-9.99998,-3.31058,-60.44002,78.66663,-24.74211
4238,-1.10792,-8.19954,-2.78027,-71.67048,31.91373,-24.25383
4266,-0.58,-7.03476,1.03609,-58.36483,-1.77765,-20.34758
4296,0.12629,-6.81689,0.58718,-53.29891,-8.61358,-29.86906
4326,0.27234,-6.83844,-0.12989,-52.50546,-3.36456,-35.24015
4355,-1.18812,-6.42664,-0.85772,-35.29355,-23.62822,-29.25871
4384,-1.92075,-5.9873,-0.34297,1.32751,-52.49783,-19.18791
4414,-3.18608,-5.52163,0.68175,30.13609,-21.8582,2.17438
4442,-2.7647,-5.60542,0.35015,51.55941,0.96893,22.5601
4470,-0.81343,-7.12574,-3.45423,61.81331,-33.39384,33.60746
4499,0.65302,-8.56586,-6.68042,56.01497,-83.80884,33.72953
4529,5.51085,-14.28919,-12.04104,-0.80872,-35.53006,-6.43157
4557,4.8728,-16.13512,-12.10568,-54.21444,-26.5579,-44.94473
4586,1.30304,-8.99202,-1.36769,-9.17053,50.77358,-47.01992
4615,1.58197,-5.39234,-5.58148,17.13561,33.01237,-21.20207
4644,1.87167,-9.30806,-9.40861,18.1732,2.1286,1.80817
4673,-2.82695,-18.1271,4.64535,17.31871,-57.19753,-13.93889
4705,-5.68204,-13.45721,6.21954,-29.73936,83.06116,-12.65716
4735,-4.47536,-2.90955,-2.37325,-21.80479,20.19499,22.19389
4765,-5.57909,-9.94611,4.5412,83.41974,-24.05546,62.41603
4793,-4.37121,-13.21061,3.58831,126.44949,-43.22049,58.38771
4822,-2.58514,-13.5865,1.25995,119.8577,-90.5227,31.47123
4851,1.60711,-7.60698,-5.05715,54.06185,13.11492,22.92631
4881,0.87089,-8.09659,-1.41797,72.73859,37.71207,30.86088
4912,1.1558,-9.00399,0.55845,82.26007,-15.99883,6.93511
4941,-0.56683,-8.9178,-0.07003,66.08577,-28.99931,13.40484
4971,-1.48022,-8.83879,0.06644,56.99154,-2.26593,25.55082
4999,-0.69611,-9.13687,-0.04729,63.52229,40.09244,33.79057
5028,0.73562,-9.80845,-1.48859,65.23128,24.8947,42.39651
5056,1.45388,-10.08976,-1.57957,54.12288,-42.48807,28.66361
5086,0.71886,-9.87429,1.68013,51.49837,-5.37872,20.60698
5115,0.62668,-10.1149,-0.08918,43.31967,56.0226,13.64898
5141,1.16538,-11.3563,-3.11306,-9.90295,16.34978,22.13286
5168,2.15538,-11.31679,-1.34973,-39.68808,-54.14577,24.51323
5196,2.4343,-10.899,1.31142,-7.15637,-15.69365,4.37164
5224,0.92356,-12.06498,-0.57042,-0.50354,22.69743,-15.89202
5253,0.1251,-12.66233,-2.03208,-38.89463,6.34002,-30.84562
5281,-0.92356,-12.12005,-3.02448,-84.60992,-18.50127,-26.32902
5310,-0.66858,-10.0766,-1.07799,-137.95461,-7.33184,-36.64396
5339,-1.36529,-10.60571,1.58197,-157.97412,36.06412,-49.40029
5368,-4.0863,-13.89774,3.96779,-120.43753,76.5304,-52.0248
5396,-5.68563,-14.82669,2.14221,-78.32331,120.78086,-40.24503
5422,-4.1701,-10.99836,-2.77548,-70.75495,111.68662,-31.70011
5448,-2.62704,-9.35953,-2.08116,-67.58113,73.17347,-20.83586
5477,-1.26713,-8.15884,-0.55126,-61.17244,54.74086,-20.83586
5505,-0.49261,-6.98568,0.80625,-42.61776,9.69695,-24.559
5535,0.05327,-6.7702,0.32382,-38.71152,5.4245,-34.99601
5564,-0.51894,-6.79534,-0.25438,-26.74864,8.72039,-36.0336
5594,-0.99898,-6.58944,-0.68295,0.65613,-28.26689,-31.82218
5623,-3.70443,-5.75626,-0.67457,24.88707,-43.46463,-6.18743
5652,-3.03645,-5.80534,-0.14545,46.12729,-30.64725,13.1607
5680,0.43754,-7.07786,-1.71485,41.30551,-22.0413,14.32036
5709,0.80505,-8.11215,-2.80301,25.13121,-17.76885,20.97319
5738,0.24361,-9.5798,-3.44705,22.07945,-3.91388,35.56058
5768,1.41078,-11.16237,-7.03835,45.21176,-27.96171,16.39556
5798,3.11067,-11.86985,-8.15166,-11.30675,1.82342,-11.92474
5826,3.15376,-12.42052,-4.1689,-29.25108,11.65008,-9.17815
5852,3.80139,-11.16716,-7.32805,-35.53769,-6.11114,-3.37982
5880,1.0313,-13.13399,-6.26263,1.02234,-14.35088,12.36724
5910,-3.71879,-18.48144,-3.85766,41.18344,-50.72781,8.33892
5939,-4.85125,-12.70184,7.73267,31.17368,81.10803,-60.75283
5969,-4.52923,-6.8121,5.15053,30.56333,181.38872,-84.0072
5998,-4.2934,-3.51888,1.6083,39.7186,113.2125,-42.62539
6026,-6.47811,-6.0268,2.49296,68.83234,88.98156,30.61674
6054,-7.55311,-10.83316,1.23002,78.659,13.84734,68.51954
6083,-2.38403,-10.97921,-0.99539,68.71027,-75.99634,32.20365
6111,-1.6921,-9.23623,-0.29628,55.09945,-36.50663,30.79984
6141,0.1646,-9.2075,2.13024,44.78451,81.47424,40.26028
6169,1.4455,-9.91978,2.33375,41.48862,142.20418,28.2974
6198,2.64859,-10.95407,1.29227,43.13657,139.4576,11.02447
6225,2.51092,-10.68951,1.02532,37.64341,137.07722,-5.27191
6250,1.4036,-10.49917,1.1965,30.25815,151.54256,-12.10784
6278,-0.47106,-10.02512,0.95349,30.6854,154.96051,-11.55852
6305,-0.68654,-9.71028,0.14305,27.93882,140.55624,1.8692
6331,-0.26037,-9.77612,-0.35135,2.97546,100.39513,15.41899
6358,0.7428,-9.97245,2.58514,-8.74328,90.20226,10.16998
6384,0.64823,-9.85154,4.11982,13.41247,148.91805,1.74713
6408,0.83737,-9.52832,3.57634,26.1688,181.51079,-5.0888
6436,0.65182,-9.96766,1.99138,18.78355,176.44489,-0.75531
6464,0.71646,-11.11688,0.46029,-4.9591,166.55717,8.88824
6491,1.14982,-10.80922,1.10313,-17.89855,170.89067,7.4234
6519,1.82618,-9.16441,1.97701,-15.94542,182.85356,-13.51165
6548,1.5281,-8.73106,1.33656,-15.45714,210.44144,-58.43349
6576,-2.61387,-8.70592,-3.21003,-60.25691,280.08249,-65.63564
6604,-3.85407,-10.45608,-3.10468,-108.35258,282.89011,-36.0336
6631,-5.13137,-12.36904,-1.39402,-124.95413,239.00586,9.37652
6657,-5.66767,-12.77965,-2.6821,-133.80423,172.84381,43.92239
6684,-4.1701,-11.25335,-2.13623,-123.91653,111.68662,64.00294
6713,-2.3517,-10.02392,-0.41719,-100.41801,142.08211,63.51466
6741,-0.61112,-9.42178,1.10672,-60.50105,148.61287,57.22805
6769,-0.90202,-8.95132,0.71646,-31.2042,126.0909,52.1011
6798,-1.00616,-7.25862,1.20608,-20.82823,152.03084,45.69241
6826,-0.70569,-7.02638,0.33339,-9.53674,182.54839,47.64553
6854,1.23242,-8.33721,-4.41551,10.11657,138.23689,55.33596
