timestamp,ax,ay,az,wx,wy,wz
26,-1.3222,3.33333,8.17799,2.05993,9.33074,-5.27191
52,-1.66217,3.20045,8.98484,1.87683,5.36346,-4.66156
76,-1.70168,3.25911,9.31045,5.90515,9.02557,-3.07464
100,-1.67415,3.29981,9.67557,10.54381,17.69255,-2.34222
123,-1.73999,3.5907,8.77774,8.22448,18.66912,-2.34222
147,-2.1039,3.59549,8.81006,2.30408,9.81902,-0.63324
171,-2.16855,3.54641,9.35953,-1.4801,4.63104,-0.3891
198,-1.85251,3.3429,9.83358,-1.4801,2.18963,-3.56292
224,-1.57718,2.7659,10.85351,10.36071,17.20427,-7.04193
250,-1.89561,2.92871,10.17835,18.66149,26.60368,-4.84466
276,-2.41276,3.04363,9.41939,8.59069,23.30778,-1.36566
299,-2.91793,2.89878,9.80725,-5.63049,20.3781,-1.48773
325,-1.99617,1.74358,11.01153,-10.94054,9.14764,-6.24847
349,-2.38522,1.33297,10.36989,-11.12365,-12.6419,-4.60052
375,-2.41994,1.22044,8.99561,-10.26916,-39.19217,5.1651
400,-2.74675,1.02771,9.1249,10.11657,-56.22097,17.79936
427,-1.51852,1.28988,9.46368,21.16393,-38.52079,17.79936
453,-1.43113,1.97222,8.79211,15.67076,-25.52031,16.88384
478,-1.59035,2.47141,8.36355,1.63269,-26.67997,13.40484
503,-1.57119,2.27389,7.75183,-12.28332,-40.47391,11.20757
530,-0.45789,2.61148,8.35876,-15.51818,-49.81228,1.74713
557,-1.02771,2.02968,8.57543,-14.23644,-60.06618,10.53619
581,0.29149,2.46064,7.8045,-20.15685,-61.71413,2.47955
608,0.1634,2.37206,7.25024,-35.47666,-66.41383,-1.4267
632,0.28671,2.27629,6.85041,-54.88582,-76.54565,-4.96673
656,-0.80026,1.50655,7.39988,-67.09284,-93.57446,2.35748
683,-3.37762,1.6083,12.43728,-35.41562,-55.85476,29.94535
710,2.4343,2.36607,9.47326,-33.4625,-13.43535,7.54547
736,3.04602,1.91716,9.89583,-18.08165,35.75895,-18.57756
761,0.4974,1.76991,9.88027,-11.79504,47.78286,-30.41837
789,-0.4148,1.26833,7.85119,-42.37363,41.37418,-30.1132
815,1.41078,1.42156,8.48565,-56.4117,63.10268,-45.55508
841,-4.1294,3.74034,6.00047,-86.62408,44.30386,-2.15912
869,0.22565,0.88645,8.17081,-117.62991,18.42497,10.10894
898,-0.31544,-0.98342,7.929,-112.99125,-15.0833,34.09574
925,0.56683,-0.84455,11.69029,-52.99373,-19.96611,54.78664
953,2.40797,-0.70449,11.44608,-0.93079,-29.42655,50.27004
980,3.97617,-2.02968,4.26826,-10.08605,-191.35269,-2.95257
1005,3.386,-3.88399,8.11215,-78.01813,-105.96458,-34.93497
1032,2.97779,-3.79661,8.53473,-64.83455,-118.96507,-34.50772
1058,1.28628,-4.04919,7.31129,-72.2198,-117.50022,17.55522
1083,-0.59915,-6.15609,10.55903,-46.1578,-66.96315,98.24364
1110,2.91554,-3.9247,8.75979,-12.46642,-73.98219,91.46874
1138,4.39875,-3.02807,8.20313,16.7694,-90.76684,57.65529
1165,4.47057,-4.20961,6.98808,15.60973,-119.45334,31.04398
1192,4.79618,-3.79541,6.76542,-11.67297,-88.99682,23.04838
1217,4.97096,-3.48416,7.10539,-54.45858,-49.99539,20.36284
1238,5.23073,-2.96462,7.98047,-53.42098,-52.00954,12.48931
1264,6.61697,-2.26432,9.16081,-38.34531,-70.50318,-20.28654
1290,6.87435,-1.82019,9.5379,-50.43026,-38.64285,-53.55068
1315,5.37558,-2.17573,7.92301,-79.54401,-19.78301,-50.86514
1338,2.87484,-3.16573,7.11257,-90.71344,-25.21513,-32.79874
1364,2.89639,-3.6745,8.29531,-101.15044,-11.54327,-27.97697
1389,2.24157,-4.13299,8.84957,-87.47857,-22.59062,-15.52581
1417,1.41916,-4.99969,9.64684,-53.90926,-43.46463,2.41852
1443,2.53247,-4.10546,9.77253,-0.38147,-82.83228,8.94927
1470,2.92631,-3.53923,10.01674,38.92514,-121.8337,11.0855
1496,4.06236,-4.17728,9.0016,108.68827,-182.44157,33.42435
1520,5.0787,-6.84083,11.62804,165.38989,-204.59732,61.62257
1543,6.84442,-6.91864,12.31398,197.86057,-198.92105,77.24756
1567,8.4246,-6.22792,12.6755,247.72626,-168.09831,91.52978
1593,9.07582,-5.90231,11.32757,250.90009,-76.54565,121.37595
1618,13.16512,-5.06074,3.15137,156.29565,-36.56766,130.89742
1646,15.26124,-5.2858,3.73555,67.3675,-15.51055,81.8252
1673,15.53059,-4.08152,8.54072,122.72636,1.15204,-17.05168
1699,10.21426,-4.07792,4.36403,156.84499,-25.21513,-49.40029
1725,5.5755,-5.43663,-0.44233,114.85281,-63.97243,-29.99113
1752,3.79301,-7.22869,-2.91793,41.54965,-130.80586,29.1519
1780,6.33566,-5.33009,6.93181,57.60189,-138.31319,49.47659
1805,8.53234,-3.26988,8.41741,79.81866,-98.76244,10.10894
1833,7.82844,-1.76991,5.11102,34.53062,-58.23512,-19.55412
1861,4.86322,-1.08397,1.30424,-47.74472,-35.34696,-16.13616
1887,4.43705,-1.67534,2.89758,-74.72224,-31.0745,8.70513
1915,6.37636,-1.04926,5.13496,-58.4869,-39.37527,0.16022
1942,8.47368,0.73682,2.82695,-64.28522,-50.42263,-21.62932
1969,9.60254,0.92356,1.5281,-91.68999,-22.22441,-41.34366
1996,10.83316,0.02334,2.95624,-109.81742,-6.29425,-57.51797
2022,9.50917,-0.34417,2.60669,-103.77494,-26.43583,-58.25038
