# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 19:32:23.148
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.003608,-0.299,0.069,0.120,0.330
0.012742,-0.209,0.085,0.116,0.253
0.021960,-0.134,0.101,0.124,0.209
0.024621,-0.089,0.102,0.137,0.193
0.031765,-0.081,0.101,0.144,0.193
0.034690,-0.052,0.085,0.179,0.204
0.036576,-0.047,0.085,0.183,0.207
0.043108,-0.042,0.082,0.187,0.209
0.046576,-0.038,0.062,0.197,0.210
0.048536,-0.039,0.055,0.200,0.211
0.053248,-0.039,0.048,0.200,0.209
0.056404,-0.040,0.042,0.194,0.202
0.058500,-0.044,0.045,0.191,0.201
0.071573,-0.045,0.048,0.187,0.198
0.075586,-0.058,0.093,0.170,0.203
0.075683,-0.063,0.102,0.167,0.205
0.078318,-0.073,0.113,0.164,0.212
0.080250,-0.081,0.117,0.162,0.215
0.087199,-0.085,0.120,0.162,0.218
0.090183,-0.105,0.119,0.160,0.225
0.092266,-0.112,0.120,0.161,0.229
0.098281,-0.117,0.118,0.161,0.231
0.100374,-0.123,0.098,0.161,0.225
0.104244,-0.120,0.083,0.160,0.217
0.109961,-0.120,0.076,0.158,0.213
0.112271,-0.113,0.052,0.146,0.191
0.114242,-0.112,0.044,0.141,0.186
0.122559,-0.104,0.038,0.135,0.175
0.125952,-0.076,0.009,0.096,0.122
0.132828,-0.070,0.006,0.089,0.114
0.135942,-0.060,0.001,0.064,0.087
0.138026,-0.057,0.003,0.060,0.083
0.143412,-0.055,0.004,0.057,0.080
0.146648,-0.054,0.005,0.053,0.076
0.148262,-0.047,0.010,0.043,0.065
0.157258,-0.044,0.010,0.042,0.062
0.159969,-0.044,0.009,0.050,0.067
0.168174,-0.037,0.019,0.051,0.066
0.184960,0.010,0.089,0.066,0.111
0.195550,0.026,0.154,0.035,0.160
0.202166,0.034,0.145,0.047,0.156
0.209663,0.056,0.141,0.051,0.160
0.211929,0.076,0.135,0.049,0.162
0.213888,0.084,0.128,0.051,0.162
0.216182,0.089,0.119,0.057,0.159
0.221115,0.095,0.106,0.063,0.155
0.221349,0.097,0.103,0.069,0.157
0.222364,0.105,0.106,0.074,0.166
0.223801,0.115,0.112,0.079,0.179
0.226128,0.125,0.118,0.082,0.190
0.239064,0.135,0.132,0.082,0.206
0.241542,0.205,0.244,0.055,0.323
0.243612,0.209,0.256,0.049,0.334
0.245584,0.213,0.268,0.043,0.345
0.247563,0.219,0.278,0.034,0.356
0.254532,0.220,0.288,0.019,0.363
0.257664,0.237,0.326,-0.016,0.403
0.259461,0.243,0.337,-0.029,0.417
0.265415,0.253,0.348,-0.042,0.432
0.267714,0.287,0.374,-0.081,0.478
0.271292,0.312,0.367,-0.100,0.492
0.276395,0.324,0.352,-0.100,0.489
0.279263,0.361,0.321,-0.098,0.493
0.281322,0.372,0.321,-0.108,0.503
0.287631,0.381,0.319,-0.117,0.511
0.291190,0.395,0.304,-0.178,0.530
0.293385,0.393,0.298,-0.193,0.530
0.300084,0.386,0.293,-0.209,0.528
0.303198,0.351,0.272,-0.253,0.511
0.310178,0.341,0.270,-0.258,0.506
0.313830,0.296,0.253,-0.273,0.476
0.315127,0.285,0.246,-0.276,0.467
0.320952,0.274,0.238,-0.277,0.457
0.323128,0.249,0.205,-0.285,0.430
0.325110,0.243,0.195,-0.287,0.424
0.327209,0.237,0.186,-0.290,0.418
0.331910,0.230,0.175,-0.293,0.412
0.332007,0.225,0.164,-0.296,0.407
0.333081,0.223,0.156,-0.302,0.406
0.335077,0.220,0.143,-0.307,0.404
