# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-10 19:31:43.144
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001910,-1.0006,-0.5556,-0.2895,1.18
0.011886,-0.8757,-0.2884,-0.5303,1.06
0.021739,-0.2340,0.0401,-0.3978,0.46
0.032527,0.6620,0.2631,0.1490,0.73
0.043213,1.1459,0.1999,0.6835,1.35
0.052165,1.0665,0.0692,1.0239,1.48
0.068660,0.5241,-0.1442,0.9155,1.06
0.071835,-0.1297,-0.2959,0.4392,0.55
0.086676,-0.5252,-0.2239,0.0626,0.57
0.099373,-0.5207,-0.0815,-0.1381,0.54
0.101969,-0.2762,-0.0573,-0.2229,0.36
0.111539,-0.0132,-0.0766,-0.1329,0.15
0.122485,0.0825,-0.1138,0.1286,0.19
0.131766,0.0164,-0.2331,0.2175,0.32
0.142014,-0.1373,-0.2640,0.2156,0.37
0.152833,-0.2391,-0.2121,0.1235,0.34
0.164961,-0.2076,-0.1125,-0.0157,0.24
0.176146,-0.1008,-0.0719,-0.2360,0.27
0.186931,-0.0269,0.0055,-0.3988,0.40
0.191100,0.0448,0.0646,-0.4565,0.46
0.201242,0.0374,0.0547,-0.3542,0.36
0.211436,-0.0804,-0.0282,-0.1758,0.20
0.221352,-0.2544,-0.1787,-0.0907,0.32
0.231427,-0.3394,-0.2082,-0.1512,0.43
0.244726,-0.2468,-0.1590,-0.2662,0.40
0.252823,-0.0685,-0.0462,-0.3449,0.35
0.262861,0.0543,-0.0116,-0.2329,0.24
0.274096,0.0128,-0.1010,0.0190,0.10
0.280372,-0.1603,-0.2447,0.3103,0.43
0.290379,-0.3829,-0.3412,0.3902,0.64
0.300879,-0.5310,-0.3456,0.3219,0.71
0.310373,-0.6436,-0.3012,0.1705,0.73
0.320800,-0.5551,-0.1558,0.0132,0.58
0.330639,-0.2499,0.0194,0.0616,0.26
0.341623,0.1655,0.1404,0.2883,0.36
0.353534,0.5063,0.2100,0.5108,0.75
0.365377,0.4843,0.1644,0.4792,0.70
0.376106,0.1797,0.0903,0.1909,0.28
0.380041,-0.1023,0.1066,-0.0288,0.15
0.390542,-0.3114,0.0795,-0.0305,0.32
0.400181,-0.4039,-0.0514,0.0996,0.42
0.410680,-0.4354,-0.1862,0.2065,0.52
0.421136,-0.5335,-0.2607,0.2741,0.65
0.431292,-0.5733,-0.2210,0.2466,0.66
0.442502,-0.5369,-0.0573,0.1728,0.57
0.454952,-0.4722,0.0869,-0.0314,0.48
0.465626,-0.4323,0.1777,-0.2906,0.55
0.469811,-0.2809,0.2180,-0.3569,0.50
0.479891,0.0342,0.2333,-0.4526,0.51
0.489827,0.1561,0.1538,-0.3160,0.38
0.499914,0.1090,0.0466,-0.3045,0.33
0.511053,0.0078,-0.0170,-0.3806,0.38
0.520981,-0.0428,0.0162,-0.4484,0.45
