# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-10 21:35:13.756
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011225,-0.2357,-0.5178,0.1800,0.60
0.020329,-0.2578,-0.4728,0.2068,0.58
0.031432,-0.3393,-0.3278,0.2035,0.51
0.043955,-0.3928,-0.1869,0.1726,0.47
0.053473,-0.3700,-0.0662,0.0555,0.38
0.058417,-0.3498,0.0594,-0.1042,0.37
0.068155,-0.3061,0.0490,-0.1814,0.36
0.078100,-0.1803,0.0102,-0.2153,0.28
0.088026,-0.0600,0.0119,-0.2159,0.22
0.099338,0.0111,-0.0467,-0.1415,0.15
0.110400,0.0581,-0.2036,-0.0001,0.21
0.121595,0.0527,-0.3800,0.1529,0.41
0.132302,0.0663,-0.5178,0.2913,0.60
0.144037,0.1694,-0.4990,0.3426,0.63
0.155153,0.3525,-0.4164,0.1718,0.57
0.157969,0.3881,-0.4309,-0.0176,0.58
0.167727,0.4835,-0.5057,-0.0979,0.71
0.178010,0.5903,-0.5232,-0.2192,0.82
0.188368,0.7091,-0.4503,-0.1499,0.85
0.199907,0.7145,-0.4660,-0.0671,0.86
0.211131,0.5946,-0.6954,-0.0436,0.92
0.221774,0.6409,-0.8163,-0.0310,1.04
0.233065,0.7694,-0.5564,-0.1322,0.96
0.243774,0.9275,-0.3614,-0.3358,1.05
0.247435,1.3172,-0.6239,-0.8668,1.70
0.257477,1.1985,-0.2379,-0.5210,1.33
0.268108,1.3143,0.1654,-0.8602,1.58
0.279355,0.9159,0.0501,-1.2941,1.59
0.290232,0.7587,-0.3599,-1.2888,1.54
0.299930,1.0010,-0.6979,-1.3785,1.84
0.311380,1.2747,-0.7171,-0.7283,1.63
0.321785,1.4679,-0.6145,0.1098,1.60
0.333192,1.7074,-0.5217,-0.3384,1.82
0.344290,1.8473,-0.5770,-0.2955,1.96
0.347062,1.8046,-0.8582,-0.2946,2.02
0.356904,1.4910,-1.4906,-0.7222,2.23
0.367369,2.0385,-1.5176,-0.2785,2.56
0.378670,1.5028,-1.6668,-0.3246,2.27
0.388666,1.4519,-1.8878,-0.4286,2.42
0.399997,1.7242,-2.0544,0.0792,2.68
0.411421,2.1432,-2.0337,0.4155,2.98
0.422257,2.1596,-1.8302,0.5997,2.89
0.433429,2.0264,-1.4929,0.2153,2.53
0.436542,1.8647,-0.8915,-0.5066,2.13
0.446446,1.5912,-0.3094,-2.3420,2.85
0.456491,1.1248,-0.2948,-2.6730,2.91
0.467603,0.5336,0.2919,-3.6585,3.71
0.478355,0.4640,1.3815,-4.1805,4.43
0.489372,0.3278,2.3221,-3.5715,4.27
0.499835,0.0063,2.7826,-3.0312,4.11
0.511900,-0.0863,2.8408,-2.7682,3.97
0.522639,0.2197,3.0465,-2.2290,3.78
0.525974,0.4420,3.4152,-1.0017,3.59
0.536475,-0.8148,5.0829,5.3919,7.45
0.546032,-2.0561,4.7500,5.9381,7.88
0.558913,0.8856,0.3878,0.8759,1.30
0.566417,1.8565,-1.6257,-0.1545,2.47
0.580405,2.0529,-1.5250,0.4291,2.59
0.585886,1.2225,-0.7440,0.3721,1.48
0.599594,0.3676,-0.1341,0.1833,0.43
0.606364,0.1238,-0.2718,-0.3012,0.42
0.622878,0.3559,-0.6012,-0.7013,0.99
0.625395,0.6316,-0.7075,-1.1070,1.46
0.635395,0.6866,-0.6358,-1.6464,1.89
0.645695,0.9353,-0.3424,-1.8166,2.07
0.656368,1.4568,-0.1264,-2.0830,2.54
0.667145,2.2636,0.1586,-2.3888,3.29
0.678781,2.5940,0.1498,-2.3478,3.50
0.689490,2.3853,-0.3107,-2.9193,3.78
0.700471,1.8137,-0.6632,-3.7515,4.22
0.712168,1.4293,-0.5065,-4.7951,5.03
0.715322,0.6405,-0.4460,-5.0344,5.09
0.725118,-0.4233,-0.8678,-5.3675,5.45
0.735226,-1.5037,-1.5815,-6.0621,6.44
0.745874,-2.1254,-2.1007,-6.1845,6.87
0.756797,-2.1605,-2.3503,-6.1307,6.91
0.767105,-2.1000,-2.6744,-5.8956,6.81
0.778924,-2.2881,-3.0924,-4.7613,6.12
0.789658,-2.6288,-3.4525,-3.2317,5.41
0.800684,-3.2551,-3.9190,-2.2022,5.55
0.812130,-3.8866,-4.5319,-1.8116,6.24
0.814583,-4.1277,-5.1377,-1.6448,6.79
0.824514,-3.6747,-5.6177,-1.9043,6.98
0.834806,-2.0734,-5.8207,-1.4422,6.35
0.845221,0.1463,-5.3990,0.5431,5.43
0.856296,2.4078,-4.7629,3.2705,6.26
0.866682,4.8770,-3.7215,5.9553,8.55
0.877940,7.2783,-2.3200,8.0743,11.12
0.889299,8.4538,-1.2464,9.5735,12.83
0.900222,9.7382,0.2224,10.1566,14.07
0.904173,9.9883,1.2287,9.2352,13.66
0.914149,9.0386,1.5687,7.8930,12.10
