# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 21:36:16.586
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.005596,-0.126,-0.011,0.092,0.156
0.013735,-0.138,0.020,0.086,0.164
0.019079,-0.156,0.085,0.080,0.195
0.019270,-0.160,0.096,0.079,0.202
0.020311,-0.162,0.110,0.077,0.210
0.022172,-0.165,0.121,0.076,0.218
0.029090,-0.165,0.132,0.075,0.224
0.031954,-0.167,0.166,0.066,0.244
0.034284,-0.166,0.170,0.064,0.246
0.040237,-0.166,0.172,0.063,0.247
0.042504,-0.161,0.177,0.063,0.247
0.044476,-0.161,0.177,0.065,0.248
0.050850,-0.159,0.174,0.066,0.245
0.054136,-0.152,0.152,0.079,0.229
0.056159,-0.148,0.146,0.079,0.223
0.070369,-0.143,0.140,0.079,0.215
0.078188,-0.087,0.138,0.034,0.167
0.084147,-0.046,0.189,0.010,0.195
0.084334,-0.038,0.202,0.007,0.206
0.085894,-0.029,0.217,0.005,0.219
0.088035,-0.024,0.233,0.003,0.234
0.089978,-0.019,0.249,0.001,0.249
0.096079,-0.015,0.265,-0.001,0.265
0.098126,-0.007,0.315,-0.013,0.315
0.100243,-0.008,0.328,-0.018,0.328
0.106816,-0.015,0.351,-0.025,0.352
0.109812,-0.028,0.378,-0.031,0.380
0.111959,-0.034,0.384,-0.031,0.387
0.117865,-0.041,0.394,-0.033,0.397
0.120435,-0.052,0.398,-0.030,0.402
0.123868,-0.051,0.388,-0.021,0.392
0.129380,-0.045,0.384,-0.016,0.387
0.131921,-0.013,0.386,0.007,0.386
0.133780,0.004,0.394,0.018,0.394
0.140504,0.024,0.399,0.027,0.401
0.143843,0.111,0.407,0.063,0.427
0.145991,0.130,0.389,0.068,0.416
0.152487,0.146,0.377,0.075,0.411
0.155743,0.236,0.388,0.088,0.463
0.157581,0.261,0.399,0.086,0.485
0.163565,0.288,0.415,0.084,0.512
0.165858,0.367,0.479,0.081,0.608
0.167792,0.391,0.502,0.082,0.642
0.174236,0.415,0.525,0.080,0.673
0.179258,0.467,0.575,0.078,0.744
0.179356,0.482,0.580,0.075,0.758
0.184960,0.506,0.592,0.069,0.782
0.187387,0.531,0.609,0.063,0.810
0.189404,0.537,0.611,0.059,0.816
0.196575,0.540,0.611,0.047,0.817
0.199391,0.538,0.635,0.002,0.833
0.201652,0.535,0.641,-0.006,0.835
0.208462,0.532,0.640,-0.014,0.832
0.211290,0.494,0.589,-0.053,0.771
0.213449,0.484,0.567,-0.065,0.748
0.219440,0.470,0.548,-0.075,0.726
0.223194,0.438,0.505,-0.108,0.677
0.230286,0.441,0.516,-0.110,0.688
0.233356,0.455,0.533,-0.079,0.705
0.235198,0.456,0.529,-0.068,0.702
0.241333,0.455,0.521,-0.062,0.695
0.243479,0.459,0.492,-0.033,0.674
0.252405,0.468,0.460,-0.007,0.656
0.255351,0.476,0.403,0.034,0.625
0.257196,0.477,0.395,0.039,0.621
0.262799,0.481,0.388,0.044,0.619
0.265223,0.494,0.377,0.047,0.623
0.267048,0.498,0.372,0.044,0.623
0.273519,0.500,0.368,0.037,0.622
0.277089,0.515,0.336,0.014,0.615
0.279060,0.519,0.329,0.005,0.614
0.284664,0.522,0.328,-0.004,0.616
0.287369,0.531,0.345,-0.031,0.633
0.289087,0.533,0.355,-0.039,0.642
0.297217,0.532,0.372,-0.045,0.651
0.301267,0.522,0.388,-0.049,0.653
0.308469,0.519,0.379,-0.046,0.644
0.310728,0.515,0.299,-0.012,0.595
0.312788,0.516,0.275,0.002,0.585
0.319920,0.519,0.254,0.017,0.578
0.322923,0.541,0.174,0.075,0.573
0.324705,0.550,0.143,0.081,0.574
0.330262,0.560,0.091,0.075,0.573
0.332587,0.568,-0.050,0.046,0.572
0.334561,0.559,-0.076,0.042,0.566
0.341086,0.548,-0.097,0.040,0.558
0.343176,0.514,-0.078,0.068,0.524
0.346913,0.503,-0.025,0.097,0.513
0.353054,0.501,0.009,0.114,0.514
0.356306,0.501,0.113,0.180,0.544
0.358382,0.506,0.135,0.198,0.560
0.363409,0.514,0.153,0.215,0.577
0.366793,0.520,0.185,0.265,0.612
0.368401,0.522,0.202,0.277,0.625
0.374409,0.519,0.226,0.293,0.637
0.376416,0.499,0.290,0.331,0.665
0.380578,0.478,0.323,0.344,0.672
0.386036,0.460,0.337,0.345,0.667
0.388374,0.404,0.349,0.338,0.632
0.390353,0.378,0.345,0.336,0.612
0.397217,0.354,0.333,0.333,0.589
0.400293,0.228,0.243,0.348,0.482
0.402334,0.188,0.217,0.358,0.459
0.408865,0.147,0.194,0.372,0.445
0.412719,0.058,0.159,0.395,0.430
0.420860,-0.080,0.121,0.424,0.448
0.424117,-0.316,0.092,0.440,0.550
0.432074,-0.364,0.093,0.445,0.583
0.436326,-0.577,0.064,0.472,0.748
0.442024,-0.608,0.037,0.475,0.773
0.444204,-0.692,-0.040,0.485,0.846
0.446157,-0.713,-0.063,0.485,0.864
0.452567,-0.727,-0.091,0.480,0.877
0.456093,-0.734,-0.278,0.434,0.896
0.458016,-0.721,-0.329,0.420,0.897
0.463226,-0.707,-0.378,0.403,0.897
0.465975,-0.639,-0.532,0.336,0.897
0.467985,-0.613,-0.590,0.309,0.905
0.481423,-0.585,-0.656,0.279,0.922
0.485241,-0.406,-0.995,0.079,1.078
0.486295,-0.378,-1.041,0.044,1.109
0.488097,-0.350,-1.082,0.009,1.137
0.490419,-0.325,-1.117,-0.027,1.163
0.491716,-0.297,-1.151,-0.061,1.190
0.498268,-0.274,-1.181,-0.096,1.216
0.498403,-0.250,-1.211,-0.130,1.243
0.498471,-0.225,-1.240,-0.164,1.271
0.499695,-0.200,-1.272,-0.197,1.303
0.501647,-0.176,-1.300,-0.231,1.332
0.507380,-0.147,-1.327,-0.266,1.361
0.507500,-0.117,-1.350,-0.300,1.388
0.507917,-0.088,-1.369,-0.331,1.412
0.509793,-0.057,-1.379,-0.361,1.427
0.512048,-0.023,-1.385,-0.392,1.440
0.513623,0.014,-1.386,-0.420,1.449
0.519240,0.052,-1.377,-0.446,1.448
0.519351,0.089,-1.365,-0.471,1.447
0.519954,0.125,-1.345,-0.493,1.438
0.521822,0.159,-1.315,-0.515,1.421
0.523669,0.192,-1.275,-0.531,1.394
0.530916,0.230,-1.228,-0.538,1.360
0.533632,0.386,-1.053,-0.420,1.197
0.535882,0.413,-1.068,-0.361,1.201
0.541737,0.428,-1.112,-0.301,1.229
0.543754,0.416,-1.286,-0.145,1.360
0.545762,0.403,-1.347,-0.104,1.410
0.553124,0.384,-1.403,-0.069,1.457
