# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 21:22:50.797
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.004104,-0.090,-0.056,-1.155,1.160
0.004271,-0.078,-0.054,-1.165,1.169
0.012773,-0.045,-0.047,-1.181,1.183
0.023725,0.044,-0.021,-1.209,1.210
0.025900,0.223,0.069,-1.288,1.308
0.027804,0.254,0.136,-1.308,1.339
0.029762,0.283,0.170,-1.326,1.366
0.037117,0.313,0.176,-1.337,1.384
0.039821,0.378,0.207,-1.317,1.386
0.041726,0.388,0.226,-1.300,1.376
0.049612,0.399,0.246,-1.280,1.363
0.051768,0.422,0.361,-1.183,1.307
0.053675,0.423,0.391,-1.154,1.290
0.062633,0.423,0.421,-1.122,1.271
0.075184,0.401,0.553,-0.914,1.140
0.087608,0.361,0.777,-0.658,1.081
0.099108,0.358,1.099,-0.444,1.238
0.122163,0.521,1.330,-0.312,1.462
0.126357,0.753,1.303,-0.193,1.517
0.128062,0.747,1.274,-0.170,1.486
0.129621,0.743,1.246,-0.135,1.457
0.131719,0.740,1.232,-0.087,1.440
0.149238,0.740,1.235,-0.030,1.441
0.151300,0.376,1.305,0.134,1.364
0.161955,0.213,1.256,0.066,1.275
0.165352,-0.194,1.088,-0.235,1.130
0.174103,-0.265,1.044,-0.316,1.122
0.186158,-0.541,0.715,-0.761,1.176
0.198790,-0.702,0.341,-1.212,1.441
0.209780,-0.616,0.235,-1.363,1.514
0.222849,-0.478,0.333,-1.245,1.375
0.234851,-0.433,0.546,-1.069,1.276
0.246389,-0.424,0.710,-1.048,1.335
0.259071,-0.242,0.827,-0.937,1.273
0.264266,0.094,0.724,-0.797,1.081
0.264395,0.141,0.690,-0.785,1.054
0.277087,0.223,0.619,-0.760,1.005
0.288276,0.395,0.399,-0.699,0.897
0.299864,0.489,0.343,-0.709,0.927
0.312149,0.546,0.521,-0.696,1.026
0.324638,0.518,0.850,-0.645,1.186
0.336788,0.521,1.131,-0.470,1.331
0.342032,1.021,0.876,-0.417,1.409
0.342109,1.033,0.912,-0.450,1.450
0.355127,1.052,0.976,-0.516,1.524
0.367246,1.050,1.052,-0.736,1.659
0.379666,0.863,1.005,-0.808,1.552
