# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 21:13:28.091
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.018392,-0.198,-0.120,0.050,0.237
0.026530,-0.004,0.152,-0.015,0.153
0.030561,0.019,0.230,-0.029,0.232
0.030755,0.021,0.237,-0.031,0.240
0.033448,0.026,0.220,-0.029,0.223
0.035325,0.026,0.208,-0.029,0.212
0.047234,0.028,0.194,-0.029,0.198
0.052739,0.067,0.134,0.003,0.150
0.052834,0.081,0.121,0.011,0.146
0.054142,0.098,0.108,0.017,0.147
0.055656,0.113,0.102,0.025,0.154
0.057687,0.130,0.095,0.032,0.164
0.064578,0.148,0.091,0.040,0.179
0.067402,0.219,0.103,0.076,0.253
0.069331,0.229,0.129,0.103,0.283
0.079540,0.239,0.151,0.132,0.312
0.087716,0.204,0.247,0.256,0.409
0.091340,0.111,0.103,0.317,0.352
0.099873,0.078,0.054,0.334,0.348
0.103476,-0.179,-0.066,0.380,0.425
0.110578,-0.251,-0.067,0.378,0.459
0.113375,-0.553,-0.238,0.389,0.717
0.115285,-0.632,-0.242,0.376,0.774
0.122051,-0.709,-0.260,0.352,0.833
0.125203,-0.999,-0.381,0.209,1.089
0.132213,-1.047,-0.407,0.157,1.134
0.135315,-1.125,-0.564,-0.087,1.261
0.137060,-1.122,-0.638,-0.156,1.299
0.144660,-1.112,-0.729,-0.224,1.348
0.146935,-0.996,-1.186,-0.489,1.624
0.154982,-0.954,-1.339,-0.549,1.733
0.157259,-0.787,-2.100,-0.742,2.363
0.159078,-0.754,-2.330,-0.779,2.570
0.165539,-0.722,-2.570,-0.812,2.790
0.168803,-0.698,-3.597,-0.903,3.774
0.176802,-0.713,-3.851,-0.923,4.024
0.178840,-0.828,-4.666,-0.980,4.839
0.180875,-0.868,-4.813,-0.989,4.990
0.187989,-0.910,-4.935,-0.990,5.115
0.190843,-1.066,-5.122,-0.952,5.318
0.192957,-1.085,-5.083,-0.935,5.281
0.199880,-1.091,-5.015,-0.914,5.213
0.202850,-1.009,-4.553,-0.795,4.731
0.211275,-0.961,-4.403,-0.758,4.570
0.215550,-0.570,-3.502,-0.574,3.594
0.220667,-0.463,-3.296,-0.539,3.372
0.224521,0.009,-2.492,-0.432,2.529
0.236904,0.122,-2.311,-0.403,2.349
0.237714,0.227,-2.134,-0.366,2.177
0.238104,0.324,-1.964,-0.320,2.016
0.251781,0.650,-1.247,-0.034,1.407
0.257445,0.736,-0.923,0.360,1.234
0.257550,0.730,-0.944,0.421,1.266
0.258391,0.705,-1.065,0.537,1.385
0.264142,0.683,-1.167,0.594,1.477
0.266670,0.598,-1.615,0.776,1.889
0.268377,0.563,-1.799,0.844,2.065
0.270442,0.525,-1.986,0.910,2.247
0.275996,0.494,-2.128,0.945,2.380
0.276111,0.473,-2.229,0.965,2.475
0.276337,0.454,-2.315,0.980,2.555
0.282363,0.441,-2.386,0.990,2.620
0.293009,0.434,-2.498,0.997,2.724
0.304524,0.537,-2.397,1.003,2.654
0.308148,0.569,-1.628,1.092,2.041
0.310085,0.517,-1.409,1.127,1.877
0.311964,0.462,-1.148,1.168,1.701
0.313881,0.403,-0.859,1.210,1.538
0.321286,0.347,-0.568,1.257,1.423
0.324339,0.164,0.367,1.448,1.502
0.331527,0.140,0.531,1.496,1.593
0.334245,0.094,0.915,1.713,1.944
0.336059,0.089,0.942,1.775,2.011
0.342711,0.082,0.957,1.837,2.073
0.346295,0.082,0.951,2.092,2.300
0.347988,0.078,0.937,2.158,2.354
0.356818,0.076,0.918,2.220,2.403
0.356918,0.069,0.895,2.281,2.451
0.358101,0.047,0.839,2.452,2.592
0.364232,0.036,0.823,2.506,2.637
0.367932,-0.026,0.791,2.673,2.787
0.369965,-0.051,0.796,2.706,2.821
0.376529,-0.079,0.806,2.736,2.853
0.378937,-0.186,0.885,2.804,2.946
0.382240,-0.272,0.981,2.834,3.011
0.388065,-0.311,1.037,2.844,3.043
0.392125,-0.453,1.316,2.870,3.190
