# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-10 21:12:51.798
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.014811,-0.3190,0.0119,0.5389,0.63
0.029892,-2.8997,-1.0917,-0.2546,3.11
0.039396,-2.9505,-0.9755,-1.2179,3.34
0.050454,-2.9581,-0.9931,-2.0271,3.72
0.061488,-4.1609,-1.2010,-1.8154,4.70
0.073756,-3.3241,-0.6854,-3.4229,4.82
0.084710,-2.8133,-0.3440,-4.2615,5.12
0.088501,-1.4157,0.3399,-4.8960,5.11
0.098231,-2.2806,-1.4875,-3.7496,4.63
0.110920,-1.6201,-1.8554,-3.4770,4.26
0.121808,-0.9738,-1.6934,-3.0301,3.61
0.128326,-0.1455,-1.6193,-3.7226,4.06
0.138142,-0.4651,-2.3381,-3.9710,4.63
0.148901,0.0079,-2.5374,-4.6975,5.34
0.159942,0.7658,-2.7143,-4.6065,5.40
0.171560,2.0550,-2.9108,-3.8320,5.23
0.178003,3.3832,-3.3484,-3.4337,5.87
0.187565,4.4014,-3.4336,-2.2243,6.01
0.197828,5.4092,-3.2578,-0.7521,6.36
0.207573,6.5894,-3.1483,-1.3783,7.43
0.218780,5.8356,-3.8217,-0.1912,6.98
0.229354,5.5765,-4.2554,-0.5712,7.04
0.241206,5.0056,-4.6968,-1.3207,6.99
0.252091,4.7898,-4.6914,-1.8246,6.95
0.262933,4.8059,-4.4038,-1.2905,6.64
0.274440,4.6278,-4.1731,-0.4131,6.25
0.277256,3.8557,-4.1596,-0.8421,5.73
0.287085,3.0553,-4.1785,-1.6084,5.42
0.298063,2.4313,-4.1495,-2.3212,5.34
0.308139,2.5436,-3.8078,-2.5224,5.23
0.319113,2.6116,-2.9440,-1.8839,4.36
0.329795,1.1057,-2.0385,-0.3977,2.35
0.342456,-1.1513,-0.9852,1.4151,2.07
0.352439,-3.0178,0.0371,3.9005,4.93
0.363013,-5.0107,1.4295,6.6066,8.41
0.367102,-7.7807,3.4212,8.3272,11.90
