# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 400 Hz
# Recording started at: 2026-02-07 14:05:53.723
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.018544,-0.0758,0.0706,0.2675,0.29
0.035500,-0.2555,0.2560,-0.1179,0.38
0.047618,-0.1614,0.2227,-0.0038,0.28
0.065122,-0.0887,0.2250,0.0821,0.26
0.066614,-0.1832,0.3690,0.0565,0.42
0.081417,-0.2537,0.3449,-0.1597,0.46
0.086867,-0.0587,0.1320,-0.3798,0.41
0.099685,0.2070,0.0819,-0.2900,0.37
0.114366,0.3723,0.1639,-0.0556,0.41
0.116996,0.3439,0.2186,0.0593,0.41
0.130701,0.2268,0.2300,0.1782,0.37
0.137988,0.1370,0.1726,0.1736,0.28
0.147700,0.0323,0.1397,0.0922,0.17
0.164822,-0.1716,0.1994,0.0911,0.28
0.167509,-0.2355,0.2890,0.1992,0.42
0.182170,-0.1646,0.3161,0.2113,0.41
0.187583,-0.1450,0.1918,0.1754,0.30
0.198061,-0.2378,0.0702,0.2052,0.32
0.215206,-0.2176,0.0063,0.3667,0.43
0.217797,-0.1700,-0.0377,0.5206,0.55
0.232670,-0.0857,-0.0223,0.7861,0.79
0.237900,0.0585,0.0057,1.0033,1.00
0.251080,0.0433,0.0298,0.9571,0.96
0.265966,-0.0529,-0.0353,0.6967,0.70
0.268020,-0.1151,-0.1109,0.3446,0.38
0.282814,-0.0735,-0.1553,0.1601,0.23
0.288359,0.0321,-0.2277,0.1547,0.28
0.298404,0.1581,-0.3037,0.2421,0.42
0.314182,0.1782,-0.3682,0.3400,0.53
0.318391,0.1211,-0.3235,0.3900,0.52
0.331300,-0.0449,-0.2202,0.5078,0.56
0.339499,-0.1612,-0.0877,0.5673,0.60
0.349501,-0.2537,-0.0395,0.6329,0.68
0.365701,-0.3182,0.0331,0.4877,0.58
0.368899,-0.3365,-0.0380,0.0981,0.35
0.382622,-0.2482,-0.1218,-0.1421,0.31
0.400817,-0.1192,-0.0795,-0.2264,0.27
0.416238,-0.1917,-0.0407,0.0011,0.20
0.431318,-0.1348,-0.1899,0.6416,0.68
0.439801,-0.2139,-0.1058,0.9205,0.95
0.449865,-0.3165,-0.2281,1.2496,1.31
0.465455,-0.4267,-0.5047,1.5702,1.70
0.469898,-0.7379,-0.7027,1.7591,2.03
0.482026,-1.0889,-0.7921,1.9075,2.33
0.500370,-1.4796,-0.7930,1.9333,2.56
0.500610,-1.7502,-0.7551,1.8079,2.63
0.515129,-1.9731,-0.8585,1.8118,2.81
0.519944,-1.9067,-1.0163,1.6782,2.74
0.536415,-1.6624,-1.2118,1.4039,2.49
0.554002,-1.0807,-1.2380,0.5803,1.74
0.564972,-0.8435,-0.9793,-1.0347,1.66
0.583148,-1.3079,-0.8845,-2.0751,2.61
0.595529,-1.3769,-0.7378,-2.6150,3.05
0.600433,-0.5880,-1.4553,-7.2074,7.38
0.612589,0.2709,-1.2391,-10.8233,10.90
0.620645,-2.0197,2.7783,-0.4348,3.46
0.632916,-1.9771,0.8568,1.3464,2.54
0.643699,-1.5438,-1.3654,1.7872,2.73
0.650712,-1.9459,-1.2668,5.1746,5.67
0.662169,-2.2917,-1.2836,3.0413,4.02
0.670939,-2.5792,-0.8038,-1.0471,2.90
0.681431,-0.1896,0.4867,-5.3939,5.42
0.697505,1.2516,1.7656,-9.5517,9.79
0.701233,0.9401,2.6240,-10.5840,10.94
0.715479,0.9487,2.7352,-9.6734,10.10
0.721399,1.2661,2.1004,-7.2560,7.66
0.732163,1.1894,1.6082,-4.4520,4.88
0.767840,1.1208,0.9696,-2.3584,2.79
0.781961,-1.5295,0.8165,0.9980,2.00
0.794614,-1.9636,1.2608,1.6765,2.87
0.801777,-1.1079,0.6762,1.8154,2.23
0.813689,-0.1097,0.2472,1.3399,1.37
0.822059,-0.1683,0.1684,0.5742,0.62
0.832657,-0.5477,0.4865,-0.3502,0.81
0.849043,-1.1091,0.6303,-1.1487,1.72
0.852083,-1.3249,0.6856,-1.4291,2.07
0.864678,-1.3430,0.7345,-1.2979,2.01
0.882114,-0.4913,0.0928,-0.5752,0.76
0.882780,-0.0236,-0.4322,-1.9632,2.01
0.898922,0.5718,-0.3267,-2.6213,2.70
0.902684,0.5864,0.0792,-2.3144,2.39
0.915435,0.5210,-0.1719,-1.6236,1.71
0.923563,-0.6779,0.3620,-0.6094,0.98
0.933838,-1.7865,1.5364,-0.1647,2.36
0.949154,-1.6927,1.5692,0.1700,2.31
0.952994,-1.4502,0.9913,0.5052,1.83
0.963812,-1.3397,0.4143,0.7411,1.59
0.982285,-0.7739,-0.1372,0.8617,1.17
0.983531,-0.2894,-0.3586,1.0407,1.14
0.998358,0.1833,-0.7159,0.9369,1.19
1.003446,0.3464,-1.1120,0.3416,1.21
1.014843,0.1884,-1.2700,-0.2871,1.32
1.032484,0.1882,-1.3321,-0.8980,1.62
1.033885,1.1192,-1.4218,-1.1475,2.14
1.048002,1.7263,-1.5649,-1.6675,2.87
1.053771,1.7329,-1.5536,-1.5267,2.78
1.064905,1.8650,-1.5118,-0.8712,2.55
1.085119,2.1450,-1.4451,-0.2840,2.60
1.085288,2.3936,-1.4303,-0.0543,2.79
1.101642,2.4175,-1.4925,-0.1098,2.84
1.104235,2.1868,-1.5283,-0.6046,2.74
1.116210,0.5012,-0.8045,-0.6406,1.14
1.131490,-0.8145,-0.4936,-1.6267,1.88
1.134492,-2.9427,0.6527,0.1909,3.02
1.146805,-1.2544,0.1216,-0.3543,1.31
1.155211,-0.7862,0.3050,0.0942,0.85
1.165042,-0.5411,0.3557,0.1977,0.68
1.182444,-0.0133,0.2143,0.4334,0.48
1.184980,0.5661,-0.1619,0.4056,0.71
1.198058,0.2914,-0.0174,0.1945,0.35
1.205658,-0.0994,0.4574,-0.1617,0.50
1.214999,-0.3820,0.5277,-0.4296,0.78
1.231390,-0.3640,0.0511,-0.4274,0.56
1.235336,-0.4273,-0.2334,-0.2108,0.53
1.248431,-0.3219,-0.1059,-0.1285,0.36
1.255989,-0.1643,0.2171,-0.1057,0.29
1.265827,-0.0043,0.7203,-0.2177,0.75
1.283716,-0.0993,0.9661,-0.1084,0.98
1.285596,-0.1150,1.1893,-0.0027,1.19
1.299658,-0.7114,1.6822,0.1730,1.83
1.305644,-0.5127,1.8109,0.3573,1.92
1.315704,-0.7424,2.0904,0.6475,2.31
1.331670,-1.1088,2.6134,0.9135,2.98
1.335868,-1.4531,3.5292,0.7112,3.88
1.347766,-2.3645,4.1039,0.5145,4.76
1.356393,-2.8594,3.8701,0.5766,4.85
1.366187,-2.7560,3.6558,0.8433,4.66
1.383211,-2.3941,3.8146,0.9413,4.60
1.386251,-1.8273,3.7603,0.7578,4.25
1.400638,-1.6542,3.3236,0.4537,3.74
1.416398,-1.4802,3.7123,0.0563,4.00
1.416881,-1.2918,4.0977,-0.1803,4.30
1.431112,-1.2637,3.9623,-0.2638,4.17
1.436664,-1.7599,4.5897,-0.4836,4.94
1.446784,-2.2642,4.9519,-1.2107,5.58
1.464782,-2.3909,5.0180,-1.5264,5.76
1.466885,-2.3790,4.9991,-1.5630,5.75
1.481151,-2.6476,4.6148,-1.0378,5.42
1.486560,-2.6960,4.3242,-0.5988,5.13
1.497456,-0.8856,2.5813,-0.4545,2.77
1.514299,-0.4338,-0.4024,-0.3050,0.67
1.516679,0.4909,-4.5611,-0.5603,4.62
1.531041,2.4578,-10.0187,-0.3262,10.32
