# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 20:41:46.303
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.004241,-0.136,-0.130,-0.059,0.198
0.004436,-0.122,-0.149,-0.069,0.205
0.013629,-0.100,-0.189,-0.082,0.229
0.027758,-0.074,-0.254,-0.099,0.283
0.041629,-0.050,-0.470,-0.153,0.497
0.055206,0.025,-0.665,-0.221,0.701
0.069897,0.160,-0.863,-0.262,0.916
0.084945,0.288,-1.137,-0.309,1.213
0.100197,0.329,-1.669,-0.284,1.725
0.104062,0.308,-1.800,-0.097,1.828
0.106057,0.302,-1.801,-0.070,1.827
0.108234,0.296,-1.804,-0.043,1.829
0.114448,0.289,-1.799,-0.017,1.822
0.118065,0.247,-1.781,0.075,1.799
0.120154,0.237,-1.768,0.096,1.786
0.128807,0.224,-1.750,0.114,1.768
0.143061,0.151,-1.615,0.216,1.637
0.156961,0.043,-1.468,0.360,1.513
0.170634,-0.142,-1.442,0.489,1.529
0.184340,-0.336,-1.359,0.551,1.504
0.198501,-0.468,-1.091,0.619,1.339
0.213142,-0.567,-0.752,0.681,1.162
0.248695,-0.615,-0.517,0.623,1.017
0.251551,-0.426,-1.297,0.115,1.370
0.253577,-0.406,-1.376,0.111,1.439
0.262747,-0.382,-1.459,0.107,1.512
0.276777,-0.242,-1.907,0.126,1.927
0.289971,-0.057,-2.446,0.211,2.456
0.303502,0.142,-2.841,0.296,2.859
0.317031,0.281,-3.106,0.254,3.129
0.330715,0.354,-3.238,0.199,3.263
0.343318,0.403,-3.368,0.252,3.401
0.357261,0.517,-4.079,0.373,4.129
0.370354,0.558,-4.878,0.616,4.949
0.383852,0.366,-4.718,0.886,4.814
0.397613,-0.185,-3.503,1.230,3.718
0.411059,-0.246,-3.061,1.724,3.522
0.424629,-0.370,-2.923,2.119,3.629
0.437629,-0.334,-3.240,2.194,3.927
0.451681,-0.080,-3.700,2.152,4.281
0.464612,0.451,-4.310,2.061,4.798
0.478652,1.028,-4.743,1.998,5.249
0.492085,1.758,-5.295,2.024,5.935
0.505001,2.258,-5.424,2.060,6.226
0.518829,2.598,-5.296,2.042,6.242
0.524035,2.673,-4.627,1.904,5.672
0.524182,2.660,-4.510,1.870,5.560
0.526330,2.632,-4.248,1.795,5.310
0.528707,2.616,-4.104,1.752,5.173
0.531089,2.596,-3.964,1.710,5.038
0.532331,2.573,-3.824,1.663,4.900
0.538185,2.547,-3.682,1.618,4.761
0.540390,2.474,-3.243,1.472,4.336
0.551550,2.417,-2.958,1.361,4.055
0.565098,2.304,-2.369,1.096,3.482
0.579079,2.287,-1.958,0.879,3.137
0.582014,2.452,-1.831,0.715,3.143
0.584200,2.479,-1.835,0.699,3.162
0.585943,2.504,-1.840,0.683,3.181
0.588355,2.529,-1.849,0.670,3.204
0.593525,2.554,-1.853,0.658,3.223
0.596193,2.619,-1.878,0.620,3.281
0.598446,2.638,-1.881,0.606,3.296
0.607137,2.652,-1.887,0.592,3.308
0.609787,2.698,-1.881,0.492,3.326
0.620703,2.704,-1.874,0.467,3.323
0.634792,2.675,-1.858,0.305,3.271
0.637794,2.573,-1.755,-0.001,3.114
0.640088,2.559,-1.745,-0.037,3.098
0.641686,2.544,-1.735,-0.070,3.080
0.649283,2.532,-1.740,-0.107,3.074
0.651734,2.527,-1.802,-0.219,3.111
0.653564,2.528,-1.826,-0.236,3.128
0.662825,2.528,-1.853,-0.251,3.144
0.665552,2.395,-2.020,-0.311,3.149
0.676893,2.380,-2.018,-0.316,3.136
0.690496,2.334,-1.981,-0.349,3.081
0.693403,2.245,-1.678,-0.431,2.836
0.695769,2.227,-1.623,-0.448,2.792
0.697773,2.202,-1.565,-0.466,2.742
0.702790,2.171,-1.505,-0.485,2.686
0.717564,2.106,-1.381,-0.535,2.575
0.730599,1.813,-0.955,-0.738,2.178
0.744311,0.989,-0.285,-0.799,1.303
0.747136,0.485,-0.097,-0.793,0.934
0.749386,0.480,-0.124,-0.790,0.933
0.751221,0.484,-0.153,-0.800,0.947
0.753317,0.504,-0.195,-0.811,0.974
0.755196,0.534,-0.242,-0.826,1.013
0.771065,0.571,-0.284,-0.847,1.060
0.773554,1.102,-0.859,-1.028,1.734
0.775472,1.182,-0.942,-1.052,1.842
0.784091,1.254,-1.029,-1.073,1.944
0.798315,1.548,-1.331,-1.093,2.316
0.812198,2.090,-1.706,-1.071,2.903
