timestamp,ax,ay,az,wx,wy,wz
32,1.35931,3.07715,8.21989,-5.9967,1.5564,30.90665
64,1.0732,3.21003,7.36995,-42.55673,-4.79126,28.22111
96,0.91399,2.93948,10.16638,-28.9459,-7.41577,35.36222
134,1.01694,2.74076,10.02512,-0.13733,-26.03148,32.5546
169,1.51733,2.53726,9.49241,2.54822,-28.90013,21.08
206,2.46423,3.35248,8.86154,-24.49034,6.2561,47.81338
235,0.64105,1.42156,9.71627,-38.1622,23.65111,64.65907
264,2.58993,1.89082,11.33116,-17.2882,45.74582,41.83194
300,1.12946,1.19411,9.52473,15.85387,-21.82005,36.70499
326,-0.14425,0.59316,9.34636,15.91491,59.967,82.9696
349,-0.45191,0.31663,8.80767,1.32751,168.24329,117.94273
375,8.81964,5.29897,8.63768,-2.15149,209.68613,40.85538
412,-0.62668,0.39444,9.35594,52.35287,20.90452,39.45157
443,-0.18854,0.77752,9.56663,71.45686,90.85076,3.80707
470,-0.71886,1.24319,7.9697,49.24008,211.21201,-43.67825
505,-0.6614,-0.46627,9.33799,99.89922,303.13086,-99.22021
539,0.70689,-0.73801,4.06356,163.86401,264.5567,-132.36226
570,0.44353,-0.62429,0.58239,146.83522,292.44974,-150.79486
602,1.76632,-1.88364,2.41994,100.14336,304.10745,-191.74944
636,-0.98342,-2.47261,-2.01771,-7.40051,229.52252,-252.60143
667,-4.72675,-2.79703,0.81343,-96.08453,174.52989,-292.57944
695,-6.7702,-5.17088,9.57621,-40.05429,195.52599,-312.23273
721,-10.47044,-4.5831,9.09138,23.91051,156.76869,-301.24643
754,-11.19469,-4.07912,6.79893,15.85387,173.61438,-308.99786
791,-18.52214,-8.55149,8.71669,95.26054,157.44006,-286.9642
826,-20.73319,-9.03632,7.36516,181.9304,34.82053,-213.90517
864,-18.20012,-9.04709,-0.29987,122.9705,13.27514,-154.09076
900,-20.3142,-10.16039,1.84533,100.3875,-64.54463,-81.76416
935,-17.55848,-9.26975,-1.2803,102.21855,-127.16665,20.28654
972,-13.90014,-9.97365,-11.98238,-136.18459,-233.36775,66.30702
1006,-12.36306,-10.36989,2.18172,-105.72807,-234.95465,145.10335
1041,-6.71274,-7.60698,3.16454,-74.6612,-22.79661,139.48811
1076,-10.52192,-7.78894,14.21737,79.20832,112.09098,222.25174
1110,-4.03243,-6.13813,0.27713,-45.73056,53.25314,168.11357
1143,-10.1999,-6.5655,10.42854,30.19712,40.43576,214.56131
1178,-4.1689,-5.84484,8.26778,139.81619,54.84005,171.53156
1211,0.89483,-0.12869,0.23643,74.1424,18.89037,24.00969
1246,-1.25516,-2.49895,-3.7595,-14.72472,45.3796,-4.43267
1281,-6.96653,-2.83294,-1.51972,16.9525,16.81517,18.76067
1312,-13.88817,0.48542,-1.06003,31.47886,-17.54759,84.19031
1345,-13.60086,0.89962,-1.30304,-24.00206,-14.92308,96.88561
1379,-13.53502,1.58077,-3.49853,-95.04693,-2.04468,121.05551
1414,-17.00781,5.01885,1.79864,-99.01421,-37.13986,253.98999
1450,-9.11173,2.41395,5.15053,-134.35353,-138.21402,322.83759
1484,-4.6226,2.84012,9.66838,-116.47025,-113.12858,339.62225
1518,-6.29735,-2.45705,12.76409,-48.35506,-166.83948,347.43472
1550,1.28269,-0.6602,9.96527,-16.37267,-217.92586,203.88016
1582,0.04609,1.11151,8.03913,-36.88047,-73.6999,134.72739
1616,-8.89027,-2.45346,8.6305,-13.38195,-39.58127,116.47788
1651,1.14144,5.19242,4.54479,-53.35994,-2.47192,-65.46779
1683,-9.47924,0.36571,4.05039,-56.71688,-69.97675,-27.74809
1716,-6.74985,0.28551,3.65295,-58.18172,-162.07874,-1.93024
1750,-1.76273,1.87765,4.59866,-70.51081,-148.46791,-44.65481
1780,-2.38043,2.04046,5.89393,-141.37257,-133.69742,-30.67777
1808,-2.86406,0.25798,10.96125,-133.62112,-86.82245,38.23087
1839,-4.49811,2.6426,12.82993,-78.38435,-20.41624,87.30309
1873,6.95815,4.16292,3.95103,-2.33459,-203.2164,13.38958
1906,-0.06883,0.3705,0.31184,-38.34531,-358.67282,79.06335
1939,4.57592,1.45388,3.88399,-1.66321,-465.24014,96.88561
1972,1.66337,1.38924,6.01364,25.25328,-443.14545,146.07991
2004,3.25312,0.84934,0.12629,-53.78719,-361.17526,245.56712
2036,8.33482,0.86491,4.80217,-78.99469,-297.27148,269.98117
2070,14.37179,0.77871,9.05188,-38.04013,-204.74228,233.54321
2104,17.04971,-1.5269,7.38551,-18.81407,-183.44102,170.49396
2136,17.99781,-3.11545,10.48122,107.28446,-203.94882,126.4266
2166,21.87283,-0.59316,3.85646,130.59988,-71.86884,20.46965
2198,17.46271,-2.35649,-0.33339,98.49541,-66.55878,-3.88336
2229,12.50312,-5.55754,0.87568,131.45436,-129.36392,-4.37164
2262,13.96239,-5.37079,0.6602,93.24639,-41.65646,-29.39603
2293,11.00435,-5.93942,-1.55324,34.59165,46.17306,-29.64018
2325,9.12251,-5.78738,4.80097,48.87387,73.27265,-19.20317
2358,11.03188,-4.20123,7.12694,105.0872,87.43279,-42.27444
2389,3.11067,-2.47022,-12.44805,-22.23204,3.57055,-13.09966
2421,4.17728,-3.27108,3.56317,-17.34923,35.43088,25.53556
2454,2.98497,-1.78907,-1.27192,-52.13924,76.38544,51.8417
2486,5.91906,1.53049,0.75836,-28.09141,26.64182,49.33926
