timestamp,ax,ay,az,wx,wy,wz
24,1.29945,1.4024,9.31404,-38.70389,-45.92892,-102.27196
48,2.52768,1.42275,9.09497,-77.21704,51.11691,-111.9155
73,3.3034,1.24439,10.53868,-58.84547,40.06955,-114.29588
96,2.96462,1.55803,11.75493,-15.32744,-6.50024,-119.23972
119,1.66457,0.67816,11.08336,-3.48663,-13.45824,-101.60057
142,0.94751,-0.50697,9.07103,-27.5955,19.80589,-77.91895
166,1.157,-1.01933,7.99843,-71.11353,25.7263,-62.7212
191,0.98581,2.52888,10.90619,-68.12281,-17.18138,-83.90039
219,1.13186,1.60112,10.39862,-44.25809,-75.65302,-90.43114
244,0.60992,0.44113,11.01153,-22.71269,-41.16818,-77.55274
268,0.97624,-0.59197,9.50079,-25.88652,-19.43968,-85.85351
295,2.3553,1.06602,8.04152,22.27019,-128.32632,-93.11669
320,2.71921,0.66978,9.4553,45.09732,-133.94156,-103.67577
345,4.0049,1.36051,7.59022,4.14276,-74.18818,-147.25484
368,3.386,0.44712,5.59704,-45.29568,-61.00459,-139.80855
392,2.61986,-0.70689,3.799,-96.56517,-118.13346,-131.20261
417,3.8804,-1.17017,7.91942,-125.86203,-87.37176,-130.04294
443,4.34129,-1.65379,9.59297,-112.12913,-86.51727,-139.07614
468,2.76351,-2.28706,9.76774,-93.20824,-91.76629,-108.19236
494,1.01933,-2.36966,11.72381,-63.0569,-92.19353,-80.7876
518,2.57077,-0.64464,9.80845,-64.82692,-116.66862,-81.76416
543,3.77266,0.27833,9.64205,-79.29224,-99.63982,-96.41259
567,5.038,0.7033,11.23539,-88.20336,-47.33273,-108.49754
591,2.52528,-0.4136,12.41932,-82.71021,5.46264,-96.77879
617,2.26432,0.04848,11.19828,-70.80836,13.76342,-85.06005
642,3.23277,0.9918,10.25377,-58.05202,-7.41577,-95.43603
669,3.98096,1.50775,10.57698,-41.3284,-8.45336,-102.02782
693,1.65858,-0.05088,9.97963,-34.43143,1.06811,-80.48242
717,2.32178,0.2053,9.80485,-28.38896,8.57543,-67.54298
742,3.35847,0.89004,9.83957,-26.98515,11.26098,-66.81056
771,3.12383,0.50697,9.00998,-23.32304,-7.2937,-60.40187
796,2.95744,0.02095,9.17398,-14.83916,-25.84837,-46.79104
822,3.1789,0.11672,8.99442,-23.99443,-29.87669,-35.25541
849,3.36445,0.18615,8.54431,-31.13554,-39.82541,-30.61674
875,2.87843,-0.89962,9.4158,-23.62822,-57.76973,-11.20757
902,1.94948,-1.6502,9.21588,-15.38848,-83.9538,25.5966
928,3.65176,-0.57281,7.53156,-20.45439,-110.74821,34.38565
955,3.20404,-1.30664,7.45495,-14.65606,-167.63293,45.98233
979,1.74238,-2.89279,8.342,16.8991,-220.24519,87.42516
1005,2.25713,-3.17531,8.71549,48.21011,-235.01569,115.07407
1031,6.58824,-1.31142,7.89668,59.37953,-205.35263,117.88169
1059,6.79295,-1.86089,6.94259,60.66127,-202.60605,127.58627
1084,6.86956,-2.75393,7.60937,79.88734,-180.75548,138.81673
1111,10.80324,-1.96624,8.79809,109.48936,-123.0773,124.29037
1137,10.73859,-2.02849,6.74626,135.24617,-133.88052,114.7689
1163,10.5279,-2.98018,5.61141,148.97908,-125.70181,113.24302
1187,14.26046,-1.08038,4.41192,142.14314,-68.63398,75.88953
1212,13.9971,-0.04848,-6.05913,54.00844,-99.945,34.32462
1239,10.18434,-1.29466,-0.35015,29.7775,-35.85813,54.46621
1266,4.4586,-2.94547,-1.00377,-39.98563,11.44408,97.00768
1293,7.65606,-2.07637,4.18447,-14.53399,-0.33569,97.55699
1320,6.73668,-2.26432,2.71562,-13.00811,11.13891,112.93784
1347,1.78907,-4.40234,-2.40438,-68.7942,57.22042,183.79961
1372,5.76225,-3.65654,1.072,-46.8826,-14.61791,199.54666
1397,7.56867,-3.83012,0.92476,-53.90163,-27.55735,205.89432
1422,9.77134,-5.39833,-0.73562,-110.84739,-28.22874,202.0491
1450,13.49911,-3.95103,3.23038,-87.59302,-54.65694,148.03302
1476,11.70705,-4.64176,3.31298,-26.98515,-41.10715,77.96472
1503,8.15884,-7.61895,-0.84216,-59.15065,-53.3752,75.64539
1527,7.87393,-11.62445,-0.69133,-131.35519,1.98364,64.84218
1550,12.36665,-12.6767,3.55958,-99.98315,46.47823,37.43741
1573,11.63043,-13.77564,2.77907,-58.78444,71.99091,-6.87408
1596,10.74218,-14.16709,1.43353,-79.71948,43.12131,-28.1143
1623,1.38684,-12.08413,-13.03224,-177.25359,-119.04898,27.73283
1650,-1.28988,-7.05392,0.50697,-90.03442,-209.44199,93.16247
1677,-1.05764,-5.69162,3.74752,21.04948,-224.27351,115.37924
1703,-0.24361,-8.3839,-10.23701,-34.49247,-356.23141,123.619
1730,-5.50487,-21.82016,-9.8683,-127.44894,-386.74896,258.26242
1757,-5.63894,-25.74665,0.27593,-109.80979,-137.11537,321.61688
1783,6.31291,-14.47115,6.66127,-6.96563,111.66373,1.54877
1808,7.55191,-3.02687,-3.59908,-21.79716,83.46552,-117.10349
1835,-1.15341,-6.6912,-4.79738,-24.17753,5.46264,-65.16261
1862,-3.78823,-7.06708,-0.69133,50.2853,-47.39376,15.28167
1886,-1.64781,-4.46339,0.54528,124.25986,-63.56807,47.26406
1912,-1.53768,-5.43185,0.17538,161.12506,-21.82005,62.21767
1937,-1.00736,-6.88153,-1.94708,90.20226,155.48695,60.87489
1964,2.58753,-19.91796,-22.13021,-52.31472,126.00699,9.23919
1990,2.11228,-19.45708,-13.73374,-25.15409,-138.58022,-31.7764
2016,-1.37367,-11.24497,-3.10229,6.03485,-50.75069,-11.02447
2042,-4.77344,-6.48529,3.81217,26.1154,69.30537,25.10832
2069,-5.86759,-8.15764,-1.45388,30.38786,23.59007,44.21231
2095,-3.18848,-11.13244,-3.5907,64.44545,-66.37568,-5.04303
2122,-0.72484,-12.95323,3.77147,102.22618,-26.03148,-33.54642
2148,-2.0213,-10.35911,1.75675,92.21642,-50.56759,-5.77545
2176,-2.13503,-8.31686,1.25755,59.25747,-38.90989,29.50285
2202,0.91638,-5.9059,3.87202,36.97965,10.46752,8.32366
2228,0.9499,-7.39868,5.12299,50.83462,35.00364,-19.0811
2255,0.07003,-9.67437,4.13658,68.96204,26.15355,-24.6353
2284,-0.18495,-9.98562,2.99455,100.5172,113.06754,-25.856
2312,-0.65541,-9.89105,-1.97581,80.61975,203.64365,-20.72905
2340,-1.32818,-9.97843,-5.18405,29.65544,139.12953,-6.87408
2367,-1.12108,-9.9114,-1.34853,19.03533,95.36736,12.22991
2393,0.56683,-9.93055,0.08799,25.0778,73.45576,14.42717
