# Target Sample Rate: 400 Hz
# Max Device Sample Rate: 400 Hz
# Recording started at: 2026-02-07 14:12:32.548
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.005031,-0.243,1.072,0.134,1.108
0.009696,-0.174,1.167,0.114,1.186
0.020800,-0.148,1.163,0.106,1.177
0.024756,0.025,1.121,0.074,1.124
0.037456,0.064,1.110,0.071,1.114
0.042569,0.319,1.010,0.092,1.064
0.051945,0.370,0.994,0.113,1.066
0.055467,0.596,0.930,0.202,1.122
0.057688,0.654,0.910,0.231,1.145
0.060181,0.711,0.870,0.273,1.156
0.067067,0.762,0.823,0.328,1.168
0.070180,0.900,0.751,0.495,1.272
0.072765,0.937,0.740,0.553,1.315
0.075307,0.972,0.744,0.611,1.368
0.082932,0.998,0.759,0.669,1.421
0.085572,1.039,0.896,0.849,1.613
0.087998,1.039,0.969,0.915,1.690
0.090549,1.031,1.056,0.985,1.775
0.093333,1.016,1.151,1.054,1.862
0.099915,0.992,1.250,1.131,1.956
0.100195,0.961,1.352,1.204,2.050
0.100631,0.928,1.456,1.279,2.149
0.103112,0.889,1.551,1.346,2.237
0.106152,0.846,1.639,1.409,2.321
0.108253,0.801,1.706,1.465,2.388
0.116414,0.750,1.741,1.509,2.423
0.120672,0.572,1.714,1.661,2.454
0.123248,0.542,1.649,1.693,2.425
0.126075,0.515,1.565,1.725,2.385
0.132652,0.491,1.460,1.752,2.333
0.135777,0.432,1.028,1.808,2.124
0.138230,0.415,0.866,1.834,2.070
0.140877,0.394,0.698,1.864,2.029
0.143675,0.375,0.538,1.899,2.009
0.149457,0.350,0.390,1.936,2.006
0.149736,0.323,0.257,1.982,2.025
0.151156,0.294,0.139,2.031,2.057
0.153440,0.263,0.037,2.083,2.100
0.156033,0.232,-0.041,2.136,2.149
0.158684,0.201,-0.099,2.195,2.206
0.167027,0.166,-0.135,2.256,2.266
0.171276,0.061,-0.125,2.488,2.492
0.173765,0.038,-0.107,2.539,2.542
0.176279,0.014,-0.089,2.581,2.582
0.186192,-0.010,-0.070,2.618,2.619
0.188882,-0.099,-0.077,2.591,2.594
0.191026,-0.128,-0.112,2.523,2.529
0.193715,-0.155,-0.148,2.404,2.413
0.203828,-0.175,-0.184,2.234,2.249
0.206584,-0.208,-0.151,1.178,1.205
0.208836,-0.187,-0.085,0.864,0.888
0.219730,-0.153,-0.012,0.558,0.579
0.224108,0.153,0.157,-0.540,0.583
0.226554,0.233,0.139,-0.674,0.726
0.234160,0.317,0.107,-0.781,0.850
0.239169,0.698,-0.100,-1.073,1.284
0.241584,0.800,-0.174,-1.125,1.392
0.250948,0.901,-0.257,-1.170,1.499
0.254203,1.283,-0.402,-1.309,1.876
0.256737,1.349,-0.175,-1.323,1.898
0.259502,1.418,0.072,-1.337,1.951
0.267442,1.493,0.220,-1.349,2.024
0.271879,1.848,0.114,-1.295,2.259
0.274491,1.923,0.101,-1.246,2.294
0.277057,1.987,0.082,-1.185,2.315
0.283495,2.040,0.017,-1.111,2.323
0.287082,2.092,-0.630,-0.855,2.346
0.289502,2.069,-0.971,-0.782,2.416
0.292020,2.023,-1.329,-0.726,2.527
0.299990,1.961,-1.674,-0.683,2.668
0.304663,1.659,-2.599,-0.647,3.150
0.307383,1.581,-2.692,-0.662,3.192
0.309888,1.513,-2.752,-0.676,3.212
0.316163,1.450,-2.782,-0.686,3.211
0.319766,1.285,-2.775,-0.684,3.134
0.322132,1.241,-2.754,-0.668,3.094
0.324955,1.207,-2.733,-0.646,3.057
0.333215,1.181,-2.707,-0.621,3.018
0.337289,1.106,-2.619,-0.522,2.890
0.339927,1.093,-2.597,-0.510,2.864
0.342543,1.072,-2.563,-0.502,2.824
0.350702,1.026,-2.461,-0.499,2.713
0.354982,0.666,-1.800,-0.513,1.986
0.357546,0.593,-1.714,-0.515,1.886
0.360123,0.513,-1.628,-0.515,1.783
0.366942,0.420,-1.514,-0.517,1.654
0.370253,0.067,-1.023,-0.471,1.128
0.372673,-0.057,-0.860,-0.441,0.968
0.375367,-0.177,-0.724,-0.404,0.847
0.383477,-0.297,-0.616,-0.357,0.772
0.387689,-0.815,-0.259,-0.127,0.864
0.390082,-0.937,-0.156,-0.078,0.953
0.392748,-1.040,-0.041,-0.029,1.042
0.400362,-1.137,0.084,0.019,1.141
