# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 20:46:22.857
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.742292,-0.306,-0.516,0.949,1.123
0.744319,-0.665,-0.338,0.831,1.116
0.752536,-0.735,-0.295,0.810,1.132
0.754893,-0.951,-0.159,0.786,1.244
0.756795,-0.989,-0.145,0.784,1.271
0.765089,-1.021,-0.145,0.781,1.294
0.768730,-1.060,-0.287,0.800,1.359
0.775957,-1.038,-0.328,0.822,1.365
0.778396,-0.855,-0.413,0.940,1.336
0.787289,-0.791,-0.405,0.970,1.316
0.790071,-0.488,-0.290,1.152,1.284
0.798015,-0.433,-0.274,1.191,1.297
0.800102,-0.241,-0.288,1.335,1.387
0.809659,-0.194,-0.295,1.367,1.411
0.812054,0.138,-0.113,1.447,1.458
0.820047,0.213,-0.056,1.448,1.464
0.822050,0.458,0.138,1.400,1.479
0.824396,0.510,0.185,1.374,1.478
0.831753,0.557,0.217,1.342,1.469
0.833979,0.762,0.397,1.155,1.439
0.843273,0.878,0.525,1.097,1.500
0.845713,1.862,1.328,1.051,2.517
0.853532,1.810,1.113,1.050,2.370
0.856163,1.195,0.342,0.878,1.522
0.865663,1.033,0.252,0.827,1.347
0.868018,0.216,0.041,0.741,0.773
0.875646,0.056,0.044,0.778,0.781
0.877832,-0.502,0.074,1.016,1.136
0.879980,-0.613,0.099,1.075,1.242
0.886065,-0.707,0.139,1.126,1.337
0.889590,-0.921,0.263,1.224,1.554
0.897880,-0.938,0.259,1.223,1.563
0.901461,-0.839,0.120,1.117,1.403
0.909364,-0.792,0.084,1.093,1.353
0.911449,-0.601,0.005,1.011,1.176
0.920500,-0.568,-0.004,1.000,1.150
0.923507,-0.600,0.006,1.030,1.192
0.930525,-0.634,0.029,1.050,1.227
0.933482,-0.796,0.214,1.156,1.419
0.935589,-0.834,0.279,1.185,1.475
0.942223,-0.867,0.341,1.209,1.526
0.945168,-0.975,0.632,1.305,1.747
0.953571,-1.000,0.706,1.332,1.809
0.955728,-1.117,0.960,1.457,2.072
0.964714,-1.201,1.016,1.543,2.203
0.967401,-1.373,0.981,1.785,2.456
0.976537,-1.410,0.942,1.857,2.515
0.979180,-1.574,0.550,2.210,2.769
0.986607,-1.599,0.431,2.278,2.816
0.989027,-1.669,-0.162,2.516,3.024
0.991209,-1.677,-0.341,2.560,3.079
0.997384,-1.684,-0.529,2.597,3.140
1.001069,-1.644,-1.312,2.704,3.425
1.009351,-1.620,-1.505,2.735,3.517
1.012987,-1.384,-2.144,3.034,3.964
1.020364,-1.309,-2.173,3.100,4.005
1.022951,-1.015,-2.190,3.319,4.104
1.031032,-0.955,-2.164,3.324,4.080
1.035739,-0.900,-1.741,2.984,3.570
1.042225,-0.920,-1.611,2.885,3.430
1.044846,-1.074,-1.117,2.565,2.997
1.046959,-1.127,-0.990,2.480,2.898
1.053745,-1.199,-0.848,2.360,2.780
1.056782,-1.477,-0.215,1.928,2.439
1.064511,-1.530,-0.076,1.848,2.400
1.066777,-1.699,0.466,1.641,2.407
1.068733,-1.734,0.586,1.609,2.437
1.075747,-1.768,0.701,1.580,2.473
1.078782,-1.937,1.070,1.446,2.643
1.087693,-1.996,1.141,1.403,2.694
1.090532,-2.360,1.214,1.209,2.917
1.097858,-2.444,1.187,1.173,2.959
1.100590,-2.709,0.986,1.034,3.063
1.102723,-2.757,0.871,1.012,3.063
1.109420,-2.805,0.713,0.997,3.061
1.112757,-2.915,-0.007,0.900,3.051
1.121071,-2.861,-0.102,0.855,2.988
1.124431,-2.261,-0.950,0.538,2.511
1.132601,-2.157,-1.236,0.483,2.533
1.142993,-1.638,-2.419,0.333,2.940
1.146338,-1.331,-2.810,0.210,3.116
1.153423,-1.296,-2.798,0.205,3.090
1.156431,-1.224,-2.470,0.280,2.771
1.158512,-1.235,-2.346,0.314,2.670
1.165068,-1.259,-2.215,0.341,2.571
1.168343,-1.454,-1.664,0.469,2.259
1.175585,-1.510,-1.458,0.537,2.167
1.178224,-1.750,-0.489,1.046,2.097
1.180314,-1.807,-0.185,1.179,2.165
1.186441,-1.847,0.149,1.300,2.263
1.190036,-1.968,1.140,1.599,2.781
1.197806,-2.003,1.262,1.622,2.870
1.199953,-2.056,1.326,1.521,2.881
1.202009,-2.036,1.223,1.463,2.789
1.208844,-2.003,1.103,1.391,2.676
1.211998,-1.746,0.634,1.046,2.132
1.213995,-1.654,0.497,0.965,1.979
1.220858,-1.557,0.357,0.887,1.828
1.223919,-1.093,-0.018,0.608,1.251
1.232535,-0.980,-0.073,0.552,1.127
1.236121,-0.643,-0.455,0.348,0.862
1.243481,-0.612,-0.538,0.310,0.872
1.245883,-0.520,-0.756,0.175,0.934
1.253533,-0.503,-0.662,0.152,0.845
1.255972,-0.528,-0.183,0.120,0.572
1.258015,-0.617,-0.254,0.214,0.700
1.264945,-0.717,-0.371,0.332,0.873
1.267701,-1.047,-0.633,0.771,1.446
1.276075,-1.116,-0.641,0.863,1.550
1.281366,-1.334,-0.673,1.088,1.848
1.281429,-1.362,-0.709,1.127,1.905
1.286984,-1.380,-0.748,1.170,1.958
1.292513,-1.344,-0.986,1.386,2.168
1.292795,-1.311,-1.083,1.450,2.235
1.302218,-1.273,-1.194,1.513,2.309
1.309210,-1.030,-1.803,1.796,2.745
1.311450,-0.813,-2.096,1.945,2.973
1.313469,-0.755,-2.137,1.974,3.006
1.320131,-0.695,-2.173,1.996,3.031
1.323646,-0.450,-2.160,2.057,3.016
1.331308,-0.393,-2.123,2.066,2.988
1.333537,-0.155,-1.862,2.066,2.785
1.336358,-0.099,-1.780,2.055,2.720
1.342995,-0.042,-1.701,2.042,2.658
1.345562,0.159,-1.389,1.953,2.401
1.347587,0.200,-1.325,1.929,2.349
1.354024,0.241,-1.267,1.907,2.302
1.357236,0.353,-1.183,1.825,2.203
1.365529,0.371,-1.196,1.798,2.191
1.369100,0.466,-1.304,1.643,2.149
1.376676,0.489,-1.321,1.604,2.135
1.379145,0.592,-1.379,1.448,2.085
1.387391,0.625,-1.393,1.408,2.077
1.389436,0.777,-1.424,1.253,2.049
1.399022,0.856,-1.432,1.172,2.039
1.401161,1.000,-1.432,1.013,2.020
1.403163,1.033,-1.426,0.974,2.012
1.409899,1.062,-1.421,0.933,2.004
1.413001,1.143,-1.373,0.795,1.955
1.420359,1.152,-1.362,0.765,1.941
1.423029,1.144,-1.287,0.673,1.849
1.425025,1.133,-1.262,0.659,1.819
1.432290,1.122,-1.222,0.648,1.781
1.435385,1.073,-0.991,0.646,1.597
1.443798,1.056,-0.929,0.656,1.552
1.446754,0.876,-0.700,0.748,1.348
1.454243,0.830,-0.677,0.778,1.324
1.456840,0.517,-0.779,0.973,1.349
