# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 400 Hz
# Recording started at: 2026-02-07 14:11:19.676
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.016882,0.3580,-0.0551,0.2318,0.43
0.034708,0.3227,-0.0558,0.3097,0.45
0.055431,0.3188,-0.0742,0.2375,0.40
0.055527,0.2461,0.1911,0.3922,0.50
0.073397,0.1614,0.5387,0.2338,0.61
0.078227,0.5371,0.3640,-0.2991,0.71
0.091614,0.6305,0.2035,0.3911,0.77
0.098767,0.4564,0.1859,0.5270,0.72
0.110134,0.4400,0.0858,-0.1145,0.46
0.127481,0.5972,-0.2066,-0.6388,0.90
0.128774,0.4897,-0.4996,-0.7584,1.03
0.145609,0.5354,-0.7830,-0.8230,1.26
0.148669,0.6623,-0.9252,-0.7601,1.37
0.163244,0.7479,-0.8310,-0.5151,1.23
0.181440,0.8051,-0.4151,-0.0198,0.91
0.181869,1.0433,-0.0287,0.5213,1.17
0.199147,1.0369,-0.0297,0.6613,1.23
0.199614,0.7708,-0.1403,0.4853,0.92
0.216882,0.5895,-0.2743,0.1449,0.67
0.234522,0.3767,-0.3096,0.2735,0.56
0.234939,0.2360,-0.3299,0.5713,0.70
0.252449,0.1936,-0.4508,0.1658,0.52
0.252853,0.5289,-0.4378,-0.5331,0.87
0.269653,0.6120,-0.5570,-1.4217,1.64
0.269935,0.4613,-0.8080,-2.0634,2.26
0.279974,0.0987,-0.8462,-2.0426,2.21
0.290692,-0.1545,-0.4709,-1.6215,1.70
0.300165,-0.2563,-0.0189,-0.7833,0.82
0.310380,0.0687,0.1913,0.0500,0.21
0.327372,0.3187,0.2836,0.7203,0.84
0.330928,0.3438,0.2974,0.7234,0.85
0.353255,0.2228,0.3171,0.3623,0.53
0.353345,0.1397,-0.1852,0.4869,0.54
0.360495,0.3449,-0.2853,0.9635,1.06
0.373605,0.7066,-0.0631,1.8450,1.98
0.380458,0.7917,0.2001,1.9284,2.09
0.395482,0.5056,0.4178,0.2132,0.69
0.400241,-0.2811,0.0451,-1.4810,1.51
0.414486,-0.2806,-0.4021,-2.3711,2.42
0.432456,-0.7747,-0.9587,-2.7342,3.00
0.432620,-1.0122,-0.7232,-1.9727,2.33
0.450143,0.4443,0.2463,-0.7907,0.94
0.451025,1.1526,0.8229,-0.3363,1.46
0.461121,0.6824,1.0366,-2.0678,2.41
0.484590,-0.2890,0.7285,-3.0202,3.12
0.485072,-1.0391,1.1210,-2.8631,3.25
0.501943,-1.0010,0.8027,-2.3512,2.68
0.502419,-0.5783,0.3656,-1.3516,1.51
0.520147,0.7049,-0.2248,-0.7473,1.05
0.538916,2.1248,-0.5842,-0.4259,2.24
0.557927,2.9201,-0.5791,-0.5950,3.04
0.562069,3.2493,-0.8289,-1.2866,3.59
0.576201,2.8318,0.1280,-3.7859,4.73
0.582643,-0.3624,2.1125,-0.7231,2.26
0.593942,-1.2323,0.1592,-0.0278,1.24
0.611550,-0.8113,-0.8743,-0.6478,1.36
0.612401,-0.7586,0.3505,-1.9546,2.13
0.629893,-0.6158,0.6322,-2.7324,2.87
0.632657,0.0970,0.4303,-2.4145,2.45
0.647531,0.8834,0.8705,-0.8007,1.48
0.664725,1.1451,1.1368,0.9454,1.87
0.665225,0.5914,1.0593,2.5784,2.85
0.682640,-0.5933,0.9830,3.7803,3.95
0.683162,-1.9658,1.0640,4.3654,4.90
0.700569,-3.0220,1.1182,4.2856,5.36
0.718340,-3.8961,1.2795,3.7944,5.59
0.719163,-4.1437,1.3725,2.8295,5.20
0.736184,-4.0943,1.3799,2.0526,4.78
0.736598,-3.5433,1.5063,1.6015,4.17
0.753489,-2.7392,1.6591,1.0157,3.36
0.753595,-2.3482,1.5488,0.8009,2.92
0.763205,-2.6358,1.3258,0.8656,3.07
0.775759,-3.2912,1.3750,1.2754,3.79
0.784052,-3.6817,1.3244,1.6466,4.25
0.794005,-3.9178,1.3904,1.8402,4.55
0.805109,-4.1656,1.3754,1.8512,4.76
0.814833,-3.9005,1.3092,1.6416,4.43
0.833594,-3.6517,1.0709,1.7304,4.18
0.833816,-3.6451,0.7092,1.9111,4.18
0.849923,-3.8763,0.3746,2.2511,4.50
0.867242,-3.7749,-0.1398,2.3651,4.46
0.867361,-2.8814,-0.2775,2.2810,3.69
0.885441,-0.8739,0.1982,1.7943,2.01
0.885537,0.9994,0.8085,0.9173,1.58
0.894865,2.4805,1.4727,0.5610,2.94
0.908533,3.7390,1.2235,0.1101,3.94
0.914295,4.3152,0.3043,-0.2771,4.33
0.926356,3.6602,0.5809,-0.1307,3.71
0.934782,3.1498,1.3334,0.0431,3.42
0.944671,3.5662,1.8055,-0.1867,4.00
0.962343,4.5883,2.1216,-0.4817,5.08
0.964615,5.4220,1.7549,-0.7812,5.75
0.990198,5.4770,1.5106,-0.8112,5.74
1.012699,3.5850,1.0067,-1.1083,3.89
1.015418,3.2502,0.5636,-2.3043,4.02
1.031453,2.8223,0.3478,-3.8494,4.79
1.048335,2.4924,0.3219,-4.7469,5.37
1.048864,2.0878,-0.0653,-4.7662,5.20
1.066092,1.4663,-0.6106,-4.2046,4.49
1.066168,0.5934,-0.9756,-3.3767,3.56
1.084678,-0.2916,-1.2272,-2.3705,2.69
1.085955,-0.8910,-1.2441,-1.7471,2.32
1.105451,-1.3862,-1.1279,-1.3596,2.25
1.105736,-1.8319,-1.0665,-0.8269,2.28
1.122968,-1.6587,-1.3672,-0.1843,2.16
1.140769,-1.4051,-1.4383,0.6452,2.11
1.158509,-0.2283,-1.0693,1.9945,2.27
1.176115,1.7802,-0.2143,2.5305,3.10
1.176512,3.4561,0.2141,1.9456,3.97
1.194022,3.7603,0.4265,1.2761,3.99
1.211484,2.8537,0.1079,0.8032,2.97
1.228605,-0.3371,-0.7735,0.6990,1.10
1.246060,-1.9250,-1.5008,1.1236,2.69
1.246946,-1.7108,-1.5058,0.9611,2.47
1.263621,-1.6273,-0.9259,0.4004,1.91
1.266889,-0.8498,-1.1835,-0.2983,1.49
1.281577,-0.4868,-0.5287,-0.5138,0.88
1.299099,0.4213,0.0667,-0.6212,0.75
1.299571,1.5911,-0.5142,-0.6225,1.78
1.316527,2.3283,-0.0020,0.5427,2.39
1.317634,4.0351,0.8289,3.0563,5.13
1.334147,2.9419,1.2018,4.8137,5.77
1.351461,1.8370,0.4026,1.3242,2.30
1.367939,-1.1306,2.4179,-1.3537,2.99
1.377822,-0.6756,2.5363,-0.6957,2.72
1.392012,-1.4871,2.9125,-0.9111,3.39
1.398727,-2.5315,3.1600,-1.7547,4.41
1.411315,-3.5271,3.3414,-2.3541,5.40
1.429192,-4.3922,3.4986,-1.8883,5.92
1.429619,-4.8505,3.7340,-0.5877,6.15
1.446629,-4.9013,3.9640,0.7309,6.35
1.448840,-5.0156,4.1280,0.9322,6.56
1.464536,-5.0266,4.1812,0.4050,6.55
1.482071,-5.0646,4.3595,-0.4141,6.70
1.499899,-3.8999,4.3436,-1.3853,6.00
1.517074,-1.4668,4.3231,-1.8705,4.93
1.520069,0.4708,4.3133,-1.9042,4.74
1.528801,2.7172,4.0065,-2.2573,5.34
1.540647,4.5730,3.3430,-3.3013,6.56
1.549676,5.1620,3.1504,-3.6814,7.08
1.559814,4.8501,2.7379,-2.8262,6.25
1.577430,4.2174,2.2801,-2.2331,5.29
1.579927,3.4186,2.1918,-1.9248,4.49
1.595093,2.3712,2.8229,-1.5786,4.01
1.600086,1.6838,2.1558,-1.3432,3.05
1.612734,1.5696,0.8806,-1.1836,2.15
1.630999,1.4272,0.1804,-1.0634,1.79
1.631430,0.9595,-0.7217,-1.1181,1.64
1.648361,0.2639,-1.3615,-1.0326,1.73
1.650392,-0.1232,-1.6383,-0.9623,1.90
1.665825,0.0148,-1.7281,-0.7997,1.90
1.683310,0.0084,-1.6776,-0.1711,1.69
1.700878,3.4060,-3.2227,3.4759,5.84
1.718403,6.1718,-5.1180,2.4366,8.38
1.735413,7.0626,-6.7927,1.7166,9.95
1.751131,5.2425,-5.5341,1.5052,7.77
