# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-07 17:54:04.093
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002732,0.8018,0.2906,0.8096,1.18
0.023787,1.4467,0.5168,0.7951,1.73
0.024332,1.5383,0.5496,0.1130,1.64
0.038510,0.9620,0.4911,-0.5062,1.19
0.053647,0.5596,0.2786,-0.6032,0.87
0.069311,0.4620,0.0928,0.2861,0.55
0.085457,0.9475,-0.5308,1.7751,2.08
0.090333,0.8481,-0.8984,2.0668,2.41
0.101838,0.6349,-1.4285,1.9494,2.50
0.118385,0.5721,-1.8861,1.1025,2.26
0.132649,0.4380,-1.7548,-2.0441,2.73
0.132775,-0.3946,-2.1868,-6.6540,7.02
0.148976,0.3260,-1.3675,-8.7917,8.90
0.164856,0.4873,-0.0503,-5.7137,5.73
0.180572,0.7974,-0.1973,-3.3028,3.40
0.197117,0.9878,-0.3494,-2.3292,2.55
0.213305,1.1447,0.0115,-2.3058,2.57
0.213482,1.4128,0.1621,-2.5988,2.96
0.229501,1.3680,0.0020,-2.7197,3.04
0.229651,1.2171,-0.3956,-2.7786,3.06
0.245475,0.9333,-0.9571,-2.3333,2.69
0.260944,0.5325,-1.7174,-1.5078,2.35
0.261115,0.0631,-2.5598,-0.3300,2.58
0.277484,-0.3323,-3.3428,0.7411,3.44
0.292908,-0.6831,-3.8682,1.0844,4.07
0.293010,-0.5962,-3.8467,-0.3341,3.91
0.309580,-0.4898,-3.3747,-2.3448,4.14
0.309709,-0.8143,-2.6735,-3.1622,4.22
0.325200,-1.0869,-2.3862,-2.9724,3.96
0.341707,-0.9633,-2.3291,-1.4629,2.91
0.341808,-0.8075,-2.3494,-0.2108,2.49
0.358006,-3.1639,-2.4614,0.4143,4.03
0.373568,-5.5857,-3.2294,1.4070,6.60
0.373666,-6.4819,-4.3922,2.1378,8.12
0.390324,-6.4762,-5.1445,2.3752,8.61
0.390436,-6.3482,-5.0642,1.5458,8.27
0.405914,-6.6179,-4.4324,-0.2127,7.97
0.422478,-6.5634,-4.0987,-1.4511,7.87
0.422592,-6.3975,-4.1126,-0.9978,7.67
0.438012,-2.9561,-5.2113,-1.0735,6.09
0.438377,-0.6698,-5.7309,0.6701,5.81
0.454397,-1.0599,-6.1155,1.0918,6.30
0.470416,-1.4903,-5.3300,2.2092,5.96
0.470540,-0.5153,-4.2426,2.7908,5.10
0.486583,1.1404,-3.5601,2.6087,4.56
0.501993,2.3980,-3.1570,3.0284,4.99
0.502134,3.4349,-2.3826,3.8581,5.69
0.518516,4.2555,-1.4970,4.3226,6.25
0.518627,5.1242,-1.3181,3.8752,6.56
0.534317,6.4099,-1.1141,3.5361,7.40
0.549675,7.9099,0.0324,2.9503,8.44
0.549839,9.0110,1.5912,1.9481,9.36
0.565860,9.5825,2.5792,0.2905,9.93
0.581806,9.6875,2.7761,-1.1180,10.14
0.581956,9.5407,3.2537,-2.2577,10.33
0.587503,9.9335,4.5728,-2.7071,11.27
0.598456,12.4478,6.5175,-4.3472,14.71
0.613547,13.4773,6.5662,-8.2458,17.11
0.617147,12.0475,5.3535,-8.6859,15.79
0.632305,10.8496,4.9082,-7.8360,14.26
0.637041,8.5887,4.4767,-7.7438,12.40
0.651786,5.7592,3.5927,-7.5142,10.13
0.656896,4.0209,2.4980,-5.7425,7.44
0.685073,4.0610,1.7189,-2.5585,5.10
0.703759,0.9465,-0.2310,2.8185,2.98
0.706665,0.4273,-0.5646,5.3076,5.35
0.720047,0.6103,-0.0575,7.0042,7.03
0.727354,1.9840,-0.3202,6.3709,6.68
0.738291,1.5741,-1.2759,5.1099,5.50
0.752996,0.5247,-1.4018,1.7812,2.33
0.756637,-0.8559,-1.2953,0.2279,1.57
0.770672,0.7672,-0.8445,0.2949,1.18
0.786458,1.1005,-0.6528,-2.0107,2.38
0.786746,1.2869,-0.1907,-1.7940,2.22
0.796891,1.0623,-0.6835,-0.6141,1.40
0.806390,-0.7617,-0.6977,-1.1104,1.52
0.819687,-1.8366,-0.7738,-1.5948,2.55
0.826579,-3.2081,-1.2127,-2.2367,4.09
0.837336,-4.6787,-1.7206,-3.3872,6.03
0.852495,-4.5851,-1.5014,-1.9358,5.20
0.868009,-2.2795,-1.0328,2.0235,3.22
0.868104,-1.4464,-1.2814,2.6253,3.26
0.883593,-1.6202,-0.9555,2.5241,3.15
0.899805,-1.3762,-0.0015,-3.9284,4.16
0.899924,-2.6673,0.3271,-3.5934,4.49
0.906679,-1.8091,0.3595,-2.3997,3.03
0.922611,-1.8175,0.6771,-2.3015,3.01
0.926913,-1.6889,1.2471,-3.7266,4.28
0.943062,-0.7361,1.1619,-3.2729,3.55
0.958695,-0.6292,0.2261,-1.9726,2.08
0.958855,-0.7591,-0.1198,-0.2902,0.82
0.974633,-1.4660,-0.2095,-0.0756,1.48
0.975597,-2.5448,0.3961,-0.9203,2.73
0.990693,-1.8162,1.4648,-1.1711,2.61
1.005902,-0.1950,1.3781,0.1860,1.40
1.006381,-1.2155,1.3101,-0.9922,2.04
1.023391,-1.8590,1.9949,-1.6816,3.20
1.025289,-1.3129,2.9344,-0.7226,3.29
1.048953,-0.2847,3.0012,-0.0203,3.01
1.049518,-0.0554,2.5503,0.8259,2.68
1.064005,-0.8685,2.1029,0.3463,2.30
1.065254,-1.0920,1.9951,-0.2819,2.29
1.079907,-0.4535,2.0945,-0.4210,2.18
1.085185,0.3240,2.0559,-0.2520,2.10
1.096019,0.6235,1.7141,-0.7441,1.97
1.112288,0.5516,1.2683,-0.8815,1.64
1.128383,0.0113,0.5554,-0.5000,0.75
1.128526,-0.1412,-0.2937,0.4100,0.52
1.144351,0.2264,-0.6750,0.7425,1.03
