# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-07 17:55:39.019
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.016682,-0.207,0.144,-0.101,0.271
0.035125,-0.211,0.508,-0.176,0.578
0.038960,-0.201,0.410,-0.129,0.475
0.040703,-0.197,0.385,-0.118,0.448
0.042648,-0.194,0.358,-0.109,0.421
0.052690,-0.189,0.329,-0.096,0.392
0.054906,-0.148,0.166,-0.028,0.224
0.070796,-0.133,0.135,-0.012,0.190
0.090024,0.014,-0.083,0.087,0.121
0.107856,0.322,-0.224,0.120,0.410
0.125844,0.591,-0.193,-0.007,0.622
0.144549,0.717,0.201,-0.148,0.759
0.161904,0.590,0.508,-0.231,0.812
0.180042,0.268,0.087,-0.299,0.411
0.197999,-0.070,-0.119,-0.206,0.248
0.215879,-0.257,0.012,0.082,0.270
0.234068,-0.306,0.018,0.227,0.381
0.251694,-0.127,-0.040,0.316,0.343
0.270175,0.208,0.196,0.481,0.560
0.287778,0.618,-0.018,0.548,0.826
0.305722,1.101,-0.141,0.517,1.224
0.324364,1.612,0.116,0.724,1.771
0.341850,2.086,0.752,0.997,2.431
0.360317,1.169,-0.565,-0.154,1.307
0.378258,0.655,-1.091,-0.690,1.448
0.395756,0.454,-1.141,-0.863,1.501
0.414097,0.156,-1.479,-0.948,1.763
0.431576,-0.080,-2.477,-0.945,2.652
0.450334,-0.221,-2.634,-0.661,2.725
0.467930,0.105,-3.167,-0.208,3.176
0.485451,0.523,-3.971,0.094,4.007
0.503725,0.555,-4.387,0.238,4.428
0.520802,0.311,-4.338,0.315,4.360
0.539102,0.083,-4.090,0.121,4.092
0.544265,-0.159,-3.596,0.131,3.602
0.544349,-0.207,-3.508,0.144,3.517
0.556491,-0.313,-3.310,0.171,3.329
0.574098,-0.685,-2.552,0.289,2.658
0.576511,-1.128,-1.333,0.447,1.802
0.578634,-1.157,-1.241,0.447,1.755
0.593129,-1.183,-1.159,0.445,1.715
0.596151,-1.339,-0.494,0.366,1.473
0.598058,-1.343,-0.395,0.368,1.448
0.600003,-1.343,-0.297,0.373,1.425
0.614077,-1.336,-0.206,0.384,1.405
0.617869,-1.126,0.150,0.550,1.262
0.620108,-1.083,0.117,0.569,1.229
0.622058,-1.040,0.065,0.583,1.193
0.637543,-0.999,-0.012,0.599,1.165
0.639992,-0.583,-1.016,0.625,1.328
0.641976,-0.524,-1.159,0.621,1.415
0.644140,-0.468,-1.299,0.619,1.513
0.658159,-0.412,-1.441,0.613,1.620
0.660667,-0.028,-2.371,0.636,2.455
0.662654,0.023,-2.490,0.659,2.575
0.665805,0.110,-2.717,0.720,2.813
0.687009,0.145,-2.853,0.757,2.955
0.708048,0.296,-3.464,1.076,3.640
0.710810,0.197,-2.745,0.993,2.926
0.712399,0.159,-2.630,0.979,2.811
0.726011,0.117,-2.500,0.964,2.682
0.729586,-0.170,-1.497,0.798,1.705
0.731461,-0.188,-1.381,0.776,1.595
0.733491,-0.202,-1.271,0.754,1.492
0.743363,-0.216,-1.166,0.727,1.392
0.745567,-0.279,-0.642,0.543,0.886
0.761384,-0.297,-0.531,0.493,0.783
0.779218,-0.437,0.305,0.126,0.547
0.796754,-0.540,0.419,0.370,0.777
0.814567,-0.436,0.860,0.596,1.133
0.831794,-0.306,0.964,0.748,1.258
0.849853,-0.305,1.647,0.408,1.724
0.867631,-0.446,1.987,0.277,2.055
0.885153,-0.569,1.876,0.345,1.990
0.903491,-0.550,1.448,0.359,1.590
0.920490,-0.373,0.528,0.496,0.815
0.938499,0.040,-0.323,0.909,0.965
0.955454,0.907,-1.116,1.436,2.032
0.973180,1.411,-1.907,1.646,2.887
0.991083,1.896,-2.849,2.060,3.994
1.008376,2.160,-3.626,2.403,4.857
1.026515,2.294,-3.998,2.831,5.409
1.044134,2.595,-4.152,3.230,5.866
1.061562,3.034,-4.182,3.400,6.185
1.064131,3.286,-3.851,3.785,6.321
1.065952,3.289,-3.796,3.818,6.308
1.078989,3.291,-3.731,3.845,6.288
1.081777,3.252,-3.285,3.905,6.052
1.083819,3.245,-3.233,3.891,6.010
1.096533,3.239,-3.187,3.877,5.973
1.114117,3.224,-2.972,3.807,5.807
1.131931,3.142,-2.993,3.769,5.747
1.149661,2.994,-3.027,3.481,5.500
1.167617,2.231,-2.416,3.017,4.463
1.184881,1.094,-0.994,2.408,2.826
1.202179,1.745,0.659,2.288,2.952
1.219774,0.346,-0.591,1.606,1.746
1.237261,-0.637,0.651,1.534,1.784
1.255186,-1.031,0.576,2.238,2.531
1.272469,-0.389,-0.460,2.357,2.433
1.290518,0.430,-1.104,2.274,2.564
1.307510,0.450,-1.101,2.326,2.613
1.325521,0.163,-0.510,2.374,2.434
1.343159,-0.233,-0.154,2.315,2.332
1.360689,-0.490,-0.213,2.179,2.244
1.378087,-0.087,-0.522,2.300,2.360
1.395913,-0.005,-0.788,2.166,2.305
1.413598,-0.528,-0.975,2.088,2.364
1.430680,-0.678,-0.418,2.069,2.217
1.448332,-0.145,-0.062,1.830,1.837
1.465746,-0.367,0.034,1.717,1.756
1.482831,-0.901,0.967,1.423,1.942
1.500389,-0.572,1.429,1.000,1.835
1.517951,-0.109,0.783,0.989,1.266
1.536037,-0.085,0.601,1.380,1.508
1.553370,0.125,1.373,1.428,1.985
1.579794,0.124,2.247,1.277,2.587
1.584315,-0.003,2.187,0.617,2.272
1.584438,0.009,2.110,0.627,2.202
1.586570,0.018,2.028,0.635,2.125
1.589391,0.057,1.794,0.651,1.909
1.591286,0.085,1.662,0.667,1.793
1.593185,0.116,1.544,0.684,1.692
1.654910,0.147,1.457,0.698,1.622
1.657104,0.367,-0.551,1.753,1.874
1.658916,0.371,-0.577,1.856,1.978
1.672924,0.379,-0.594,1.951,2.075
1.676731,0.491,-0.364,2.212,2.295
1.702207,0.508,-0.310,2.232,2.310
1.704618,0.470,-0.021,2.167,2.217
1.706607,0.459,-0.049,2.179,2.228
1.708593,0.443,-0.067,2.193,2.239
1.710548,0.428,-0.077,2.215,2.257
1.719683,0.413,-0.088,2.234,2.273
1.722439,0.222,-0.350,2.309,2.346
1.724619,0.160,-0.517,2.329,2.391
1.727179,0.123,-0.654,2.359,2.451
1.751258,0.228,-0.692,2.384,2.493
1.754330,0.442,0.439,2.880,2.947
1.756313,0.327,0.426,2.894,2.944
1.758373,0.234,0.419,2.900,2.939
1.760319,0.168,0.421,2.895,2.931
1.768949,0.118,0.434,2.886,2.920
1.772357,0.103,0.600,2.727,2.794
1.774352,0.106,0.641,2.683,2.761
1.776218,0.101,0.684,2.636,2.726
1.801991,0.087,0.723,2.588,2.689
1.804194,0.077,0.602,1.314,1.448
1.806581,0.134,0.647,1.231,1.397
1.808124,0.175,0.701,1.147,1.356
1.810377,0.337,0.894,1.078,1.440
1.819512,0.521,1.121,0.972,1.573
1.821913,0.598,1.384,0.425,1.566
1.824515,0.504,1.313,0.301,1.439
1.828303,0.386,1.218,0.182,1.290
1.848761,0.248,1.099,0.065,1.129
1.851864,-1.373,2.678,-1.231,3.251
1.853754,-1.582,2.906,-1.294,3.553
1.855700,-1.811,3.088,-1.354,3.827
1.857774,-2.047,3.235,-1.412,4.081
1.860165,-2.277,3.342,-1.464,4.301
1.867340,-2.490,3.397,-1.512,4.475
1.869870,-3.162,3.136,-1.669,4.756
1.871846,-3.277,2.978,-1.703,4.744
1.873741,-3.365,2.797,-1.737,4.708
1.875938,-3.427,2.609,-1.774,4.658
1.877991,-3.469,2.414,-1.808,4.597
1.886363,-3.494,2.220,-1.842,4.531
1.889699,-3.613,1.355,-2.028,4.360
1.891919,-3.639,1.224,-2.060,4.357
1.893887,-3.656,1.092,-2.088,4.349
1.903863,-3.669,0.966,-2.119,4.345
1.907681,-3.726,0.448,-2.277,4.390
1.909588,-3.704,0.362,-2.290,4.370
1.934392,-3.676,0.283,-2.299,4.345
1.937541,-2.714,-0.052,-2.007,3.376
1.939524,-2.634,-0.017,-1.967,3.287
1.941385,-2.572,0.019,-1.928,3.215
1.943377,-2.516,0.066,-1.898,3.153
1.952339,-2.463,0.128,-1.874,3.097
1.955307,-2.313,0.678,-1.697,2.947
1.957433,-2.290,0.811,-1.662,2.943
1.959278,-2.259,0.941,-1.626,2.938
1.961326,-2.226,1.061,-1.577,2.927
1.969877,-2.184,1.179,-1.518,2.909
1.973394,-1.867,1.774,-1.221,2.850
1.975785,-1.784,1.875,-1.151,2.832
1.977463,-1.697,1.984,-1.075,2.823
2.000439,-1.615,2.088,-1.001,2.823
2.003046,-1.327,2.553,-0.455,2.914
2.005575,-1.353,2.454,-0.445,2.838
2.007097,-1.376,2.344,-0.435,2.752
2.009059,-1.395,2.210,-0.419,2.647
2.012527,-1.409,2.060,-0.402,2.528
2.031855,-1.419,1.901,-0.384,2.403
2.034911,-1.107,-0.196,-0.395,1.191
2.036891,-1.060,-0.333,-0.434,1.193
2.038826,-1.023,-0.448,-0.476,1.214
2.040782,-0.991,-0.554,-0.519,1.248
2.042814,-0.955,-0.657,-0.570,1.292
2.050698,-0.928,-0.745,-0.624,1.343
2.052851,-0.887,-0.940,-0.876,1.561
2.054879,-0.887,-0.975,-0.950,1.625
2.056839,-0.887,-1.001,-1.029,1.688
2.058822,-0.897,-1.023,-1.102,1.750
2.060776,-0.912,-1.046,-1.174,1.818
2.069059,-0.927,-1.068,-1.239,1.880
2.072680,-0.948,-1.241,-1.496,2.162
2.074766,-0.940,-1.287,-1.514,2.198
2.076740,-0.931,-1.341,-1.519,2.230
2.086710,-0.916,-1.403,-1.513,2.257
2.088948,-0.829,-1.754,-1.364,2.372
2.092511,-0.796,-1.837,-1.283,2.377
2.094687,-0.783,-1.854,-1.244,2.366
2.118276,-0.771,-1.872,-1.213,2.360
2.120531,-0.592,-1.751,-0.986,2.095
2.123209,-0.583,-1.737,-0.974,2.075
2.124670,-0.569,-1.732,-0.963,2.062
2.126529,-0.555,-1.723,-0.952,2.045
2.136128,-0.543,-1.717,-0.942,2.032
2.138496,-0.458,-1.752,-0.870,2.010
2.140482,-0.438,-1.759,-0.854,2.004
2.142393,-0.422,-1.774,-0.841,2.008
2.144421,-0.406,-1.791,-0.831,2.015
2.153580,-0.383,-1.800,-0.821,2.016
2.156382,-0.219,-1.719,-0.748,1.888
2.158433,-0.179,-1.700,-0.737,1.862
2.160334,-0.136,-1.676,-0.723,1.830
2.162532,-0.089,-1.645,-0.711,1.794
2.185137,-0.044,-1.611,-0.695,1.755
2.188248,0.517,-1.100,-0.472,1.304
2.190301,0.558,-1.059,-0.452,1.279
2.192141,0.598,-1.023,-0.432,1.261
2.194307,0.633,-0.991,-0.409,1.245
2.203257,0.667,-0.966,-0.387,1.236
2.206026,0.821,-0.901,-0.255,1.246
2.208499,0.850,-0.898,-0.229,1.258
2.210197,0.869,-0.904,-0.206,1.271
2.235797,0.889,-0.910,-0.178,1.284
2.237926,1.389,-0.441,0.319,1.492
