# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 21:33:23.113
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.009415,0.525,-0.546,0.742,1.060
0.017563,0.832,-0.806,0.749,1.379
0.029603,1.074,-1.091,0.656,1.666
0.039811,1.333,-1.207,0.554,1.882
0.048870,1.495,-1.090,0.566,1.935
0.051433,1.591,-0.965,0.574,1.947
0.052953,1.607,-0.929,0.570,1.942
0.063038,1.619,-0.892,0.563,1.932
0.072778,1.616,-0.664,0.492,1.815
0.081796,1.531,-0.525,0.426,1.674
0.084511,1.423,-0.440,0.384,1.538
0.086960,1.395,-0.415,0.375,1.503
0.093217,1.363,-0.385,0.370,1.463
0.096630,1.215,-0.220,0.365,1.287
0.104506,1.172,-0.172,0.369,1.241
0.106567,0.978,0.018,0.393,1.054
0.108569,0.926,0.053,0.404,1.012
0.115432,0.872,0.079,0.418,0.970
0.118393,0.652,0.129,0.486,0.823
0.126431,0.597,0.125,0.504,0.791
0.131098,0.339,0.030,0.574,0.668
0.138732,0.289,-0.005,0.585,0.653
0.142242,0.068,-0.237,0.623,0.670
0.149026,0.028,-0.291,0.628,0.692
0.152289,-0.105,-0.509,0.638,0.823
0.160717,-0.132,-0.570,0.643,0.869
0.164213,-0.235,-0.824,0.668,1.086
0.171416,-0.246,-0.861,0.675,1.121
0.174285,-0.272,-0.948,0.695,1.207
0.176252,-0.270,-0.955,0.700,1.214
0.182088,-0.270,-0.957,0.703,1.218
0.184232,-0.256,-0.946,0.709,1.209
0.186624,-0.249,-0.938,0.711,1.203
0.193236,-0.240,-0.927,0.711,1.192
0.196143,-0.189,-0.873,0.724,1.149
0.198329,-0.174,-0.848,0.728,1.131
0.204507,-0.154,-0.829,0.732,1.117
0.207944,-0.062,-0.768,0.746,1.073
0.215579,-0.036,-0.757,0.750,1.066
0.217887,0.072,-0.723,0.769,1.058
0.220206,0.099,-0.719,0.774,1.061
0.226558,0.126,-0.717,0.779,1.066
