# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-07 18:00:41.950
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.004721,0.374,1.340,-0.063,1.393
0.013618,0.538,1.613,-0.109,1.704
0.020464,0.689,1.731,-0.254,1.880
0.022987,0.824,1.751,-0.413,1.979
0.030509,0.850,1.753,-0.451,2.000
0.033121,0.930,1.780,-0.588,2.093
0.035242,0.941,1.785,-0.619,2.111
0.041452,0.951,1.790,-0.649,2.128
0.045078,0.959,1.764,-0.739,2.140
0.052070,0.957,1.750,-0.751,2.131
0.055052,0.931,1.690,-0.759,2.073
0.057093,0.923,1.683,-0.752,2.062
0.063299,0.914,1.679,-0.742,2.050
0.066861,0.895,1.696,-0.667,2.030
0.069135,0.892,1.707,-0.640,2.029
0.074205,0.890,1.719,-0.609,2.030
0.077026,0.887,1.773,-0.508,2.046
0.078902,0.886,1.793,-0.473,2.055
0.085060,0.883,1.813,-0.437,2.064
0.087132,0.865,1.877,-0.330,2.093
0.090918,0.840,1.904,-0.270,2.098
0.096709,0.820,1.907,-0.243,2.090
0.099426,0.738,1.856,-0.181,2.005
0.100915,0.706,1.821,-0.165,1.960
0.108108,0.672,1.779,-0.150,1.908
0.110916,0.445,1.701,-0.002,1.759
0.113012,0.377,1.681,0.065,1.724
0.119408,0.319,1.629,0.138,1.665
0.121628,0.214,1.305,0.378,1.375
0.124684,0.193,1.025,0.521,1.166
0.130973,0.191,0.902,0.583,1.091
0.134559,0.185,0.804,0.763,1.124
0.141142,0.191,0.865,0.790,1.187
0.144593,0.250,1.315,0.847,1.584
0.146569,0.269,1.471,0.849,1.720
0.152442,0.288,1.634,0.850,1.864
0.154807,0.351,2.087,0.832,2.274
0.156586,0.367,2.209,0.815,2.383
0.163625,0.383,2.316,0.796,2.478
0.166482,0.416,2.536,0.661,2.654
0.168522,0.395,2.509,0.626,2.616
0.174191,0.376,2.485,0.586,2.581
0.177028,0.332,2.429,0.443,2.491
0.178460,0.322,2.401,0.394,2.454
0.180590,0.318,2.369,0.343,2.415
0.185268,0.318,2.325,0.292,2.365
0.185412,0.323,2.271,0.237,2.306
0.186516,0.338,2.208,0.185,2.242
0.188443,0.356,2.153,0.132,2.186
0.190560,0.379,2.103,0.082,2.138
0.196233,0.407,2.064,0.035,2.105
0.198630,0.501,2.034,-0.103,2.097
0.200619,0.532,2.047,-0.149,2.121
0.202694,0.562,2.072,-0.193,2.155
0.207476,0.584,2.100,-0.241,2.193
0.207557,0.607,2.132,-0.287,2.235
0.208472,0.627,2.160,-0.327,2.273
0.210645,0.640,2.180,-0.363,2.301
0.212491,0.652,2.197,-0.394,2.325
0.219281,0.656,2.211,-0.420,2.345
0.222255,0.645,2.318,-0.482,2.454
0.224410,0.632,2.355,-0.491,2.488
0.229878,0.615,2.389,-0.503,2.518
0.232631,0.553,2.469,-0.536,2.587
0.234212,0.527,2.493,-0.549,2.606
0.236370,0.498,2.525,-0.563,2.634
0.241113,0.472,2.559,-0.578,2.665
0.241240,0.443,2.594,-0.593,2.698
0.242156,0.415,2.627,-0.611,2.729
0.244566,0.386,2.658,-0.627,2.758
0.246327,0.359,2.690,-0.645,2.789
0.252141,0.329,2.724,-0.662,2.822
0.254374,0.224,2.882,-0.729,2.981
0.256134,0.175,2.981,-0.749,3.078
0.258268,0.119,3.087,-0.768,3.184
0.263516,0.059,3.174,-0.785,3.271
0.263616,-0.002,3.242,-0.803,3.340
0.266024,-0.129,3.336,-0.815,3.437
0.268010,-0.193,3.362,-0.813,3.464
0.274644,-0.249,3.375,-0.807,3.479
0.278053,-0.413,3.384,-0.832,3.510
0.280141,-0.438,3.394,-0.864,3.529
0.285392,-0.456,3.404,-0.909,3.552
0.288061,-0.470,3.373,-1.091,3.576
0.289927,-0.463,3.340,-1.158,3.565
0.292200,-0.450,3.296,-1.224,3.545
0.296803,-0.432,3.244,-1.286,3.516
0.296896,-0.409,3.185,-1.341,3.480
0.297880,-0.384,3.121,-1.388,3.438
0.300039,-0.355,3.055,-1.421,3.388
0.302766,-0.318,2.976,-1.440,3.322
0.308051,-0.279,2.892,-1.443,3.244
0.311937,-0.111,2.508,-1.315,2.834
0.314021,-0.070,2.415,-1.258,2.724
0.319516,-0.031,2.329,-1.197,2.619
0.322039,0.073,2.186,-0.994,2.402
0.323792,0.111,2.180,-0.925,2.370
0.330727,0.145,2.194,-0.859,2.361
0.334124,0.294,2.393,-0.647,2.496
0.335895,0.332,2.465,-0.605,2.560
