# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 20:43:40.761
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.004232,0.009,-0.026,-0.089,0.094
0.004391,0.005,-0.013,-0.088,0.090
0.013907,-0.002,0.007,-0.086,0.087
0.017432,-0.017,0.036,-0.088,0.097
0.019382,-0.019,0.037,-0.089,0.099
0.021169,-0.018,0.038,-0.091,0.100
0.023163,-0.016,0.039,-0.092,0.101
0.040142,-0.015,0.043,-0.093,0.103
0.048118,0.030,0.144,-0.176,0.229
0.058208,0.035,0.153,-0.245,0.291
0.063510,0.050,0.139,-0.238,0.280
0.063616,0.057,0.129,-0.225,0.265
0.065342,0.075,0.109,-0.197,0.237
0.066985,0.085,0.099,-0.177,0.220
0.069018,0.093,0.083,-0.160,0.202
0.074843,0.101,0.068,-0.143,0.188
0.076901,0.123,0.037,-0.080,0.151
0.079062,0.127,0.030,-0.061,0.144
0.086097,0.128,0.026,-0.040,0.137
0.088816,0.135,0.017,0.020,0.138
0.090937,0.134,0.018,0.031,0.139
0.096455,0.133,0.030,0.038,0.142
0.098913,0.117,0.110,0.048,0.168
0.100879,0.105,0.142,0.050,0.183
0.102813,0.087,0.170,0.049,0.197
0.108596,0.069,0.189,0.048,0.207
0.110812,-0.002,0.206,0.055,0.213
0.112800,-0.031,0.198,0.063,0.210
0.120934,-0.061,0.188,0.071,0.210
0.124576,-0.207,0.108,0.154,0.280
0.130775,-0.236,0.094,0.181,0.312
0.134619,-0.341,0.014,0.288,0.446
0.141699,-0.360,-0.018,0.311,0.476
0.144476,-0.441,-0.128,0.382,0.598
0.146414,-0.449,-0.157,0.398,0.621
0.152674,-0.453,-0.199,0.410,0.642
0.156485,-0.537,-0.370,0.458,0.797
0.158661,-0.576,-0.401,0.476,0.848
0.163819,-0.615,-0.423,0.496,0.896
0.166557,-0.738,-0.451,0.558,1.030
0.168570,-0.778,-0.448,0.572,1.064
0.175227,-0.815,-0.439,0.583,1.094
0.177513,-0.920,-0.370,0.614,1.166
0.197719,-0.994,-0.279,0.640,1.215
0.208021,-1.180,0.120,0.701,1.378
0.211554,-1.111,0.455,0.481,1.294
0.221427,-1.084,0.540,0.422,1.282
0.224049,-0.845,0.957,-0.035,1.277
0.230225,-0.800,1.001,-0.118,1.287
0.232436,-0.662,1.081,-0.354,1.316
0.234321,-0.609,1.060,-0.419,1.293
0.243646,-0.477,0.960,-0.533,1.197
0.246212,-0.159,0.715,-0.680,0.999
0.255622,-0.068,0.659,-0.692,0.958
0.258202,0.406,0.155,-0.544,0.697
0.265736,0.503,0.005,-0.458,0.680
0.268166,0.829,-0.613,-0.055,1.032
0.270232,0.902,-0.761,0.053,1.182
0.275985,0.977,-0.893,0.167,1.334
0.278066,1.187,-1.062,0.515,1.673
0.280079,1.252,-1.116,0.620,1.788
0.286919,1.317,-1.203,0.715,1.922
0.290068,1.551,-1.697,0.969,2.495
0.291994,1.608,-1.834,1.003,2.637
0.297437,1.662,-1.957,1.025,2.765
0.300139,1.767,-2.348,0.978,3.098
0.302198,1.780,-2.464,0.932,3.180
0.308845,1.777,-2.552,0.875,3.230
0.311993,1.549,-2.483,0.578,2.983
0.314145,1.430,-2.343,0.493,2.789
0.319848,1.289,-2.173,0.406,2.559
0.323661,0.673,-1.756,0.111,1.884
0.325839,0.531,-1.769,0.065,1.848
0.330655,0.395,-1.807,0.029,1.850
0.334107,-0.094,-1.535,-0.039,1.538
0.336007,-0.305,-1.239,-0.048,1.277
0.341805,-0.471,-1.000,-0.049,1.106
0.343983,-0.648,-0.651,-0.082,0.922
0.347708,-0.678,-0.444,-0.142,0.823
