# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 19:24:21.827
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.015845,-0.089,-0.083,-0.665,0.676
0.023631,-0.199,-0.203,-0.632,0.693
0.032561,-0.230,-0.217,-0.607,0.685
0.034636,-0.238,-0.200,-0.585,0.662
0.041300,-0.238,-0.190,-0.582,0.656
0.044694,-0.225,-0.141,-0.560,0.620
0.046614,-0.222,-0.124,-0.554,0.609
0.052251,-0.217,-0.107,-0.548,0.600
0.054852,-0.205,-0.053,-0.537,0.577
0.056482,-0.198,-0.034,-0.532,0.569
0.058552,-0.194,-0.020,-0.528,0.563
0.064007,-0.187,-0.004,-0.523,0.555
0.064146,-0.179,0.009,-0.521,0.551
0.064568,-0.172,0.022,-0.515,0.544
0.066482,-0.163,0.032,-0.509,0.536
0.068561,-0.155,0.042,-0.505,0.530
0.081948,-0.144,0.050,-0.501,0.523
0.084507,-0.067,0.061,-0.462,0.471
0.086472,-0.054,0.060,-0.457,0.464
0.088645,-0.046,0.056,-0.452,0.457
0.090496,-0.036,0.049,-0.446,0.450
0.097240,-0.026,0.045,-0.441,0.444
0.100671,-0.002,0.029,-0.429,0.430
0.102685,-0.000,0.025,-0.428,0.429
0.108745,-0.001,0.021,-0.426,0.426
0.113059,-0.009,0.014,-0.417,0.418
0.119800,-0.014,0.015,-0.417,0.418
0.122401,-0.035,0.028,-0.409,0.411
0.124602,-0.041,0.035,-0.405,0.408
0.130452,-0.047,0.045,-0.404,0.409
0.133031,-0.067,0.091,-0.389,0.405
0.134516,-0.075,0.110,-0.377,0.400
0.141835,-0.089,0.143,-0.350,0.389
0.144717,-0.093,0.183,-0.308,0.370
0.146396,-0.090,0.204,-0.293,0.368
0.153420,-0.091,0.220,-0.280,0.367
0.157866,-0.087,0.256,-0.246,0.366
0.157954,-0.085,0.268,-0.226,0.360
0.163902,-0.080,0.289,-0.153,0.337
0.166559,-0.080,0.332,-0.089,0.353
0.168153,-0.092,0.364,-0.070,0.381
0.176862,-0.105,0.385,-0.052,0.402
0.179964,-0.158,0.357,0.015,0.391
0.186516,-0.173,0.297,0.011,0.344
0.190267,-0.215,0.161,-0.007,0.269
0.192115,-0.221,0.133,-0.007,0.258
0.197297,-0.226,0.104,-0.006,0.249
0.200242,-0.231,0.012,0.008,0.232
0.202317,-0.229,-0.020,0.015,0.231
0.208711,-0.227,-0.046,0.026,0.233
0.211897,-0.205,-0.097,0.069,0.237
0.213965,-0.195,-0.100,0.079,0.233
0.219526,-0.182,-0.099,0.087,0.225
0.222227,-0.141,-0.059,0.115,0.191
0.223899,-0.124,-0.042,0.126,0.181
0.225997,-0.107,-0.023,0.136,0.175
0.231800,-0.087,-0.006,0.148,0.172
0.233835,-0.041,0.051,0.185,0.197
0.244232,-0.010,0.094,0.215,0.235
0.247624,0.057,0.111,0.187,0.225
0.264017,0.070,0.127,0.180,0.231
0.265527,0.110,0.237,0.280,0.383
0.268472,0.125,0.295,0.330,0.460
0.269896,0.133,0.329,0.352,0.500
0.275138,0.140,0.366,0.371,0.539
0.275259,0.149,0.407,0.388,0.582
0.275324,0.160,0.448,0.399,0.620
0.277439,0.166,0.488,0.403,0.654
0.279606,0.174,0.528,0.405,0.687
0.286498,0.183,0.565,0.403,0.718
0.289437,0.205,0.709,0.366,0.823
0.291494,0.208,0.741,0.354,0.847
0.297405,0.213,0.773,0.342,0.871
0.300010,0.228,0.877,0.310,0.958
0.301568,0.235,0.911,0.299,0.987
0.308510,0.240,0.940,0.287,1.011
0.311615,0.261,1.059,0.221,1.113
0.313511,0.266,1.096,0.201,1.146
0.320544,0.275,1.139,0.182,1.186
0.323299,0.309,1.288,0.092,1.328
0.325447,0.326,1.308,0.064,1.350
0.331836,0.339,1.323,0.034,1.366
0.335226,0.408,1.452,-0.094,1.511
0.337431,0.423,1.515,-0.130,1.578
0.343283,0.438,1.593,-0.169,1.661
0.347160,0.476,2.014,-0.331,2.095
0.354099,0.479,2.137,-0.372,2.222
0.357169,0.468,2.606,-0.552,2.704
0.359312,0.446,2.733,-0.617,2.837
0.365391,0.419,2.852,-0.685,2.963
0.367427,0.321,3.090,-0.820,3.213
0.377119,0.233,3.152,-0.814,3.264
0.379416,0.071,3.147,-0.758,3.238
0.387998,-0.007,3.119,-0.755,3.209
0.391131,-0.155,3.128,-0.842,3.243
0.398808,-0.188,3.158,-0.883,3.284
0.401454,-0.263,3.409,-1.097,3.591
0.403151,-0.269,3.508,-1.160,3.705
0.409538,-0.291,3.671,-1.252,3.890
0.413221,-0.331,4.250,-1.635,4.565
0.414941,-0.325,4.378,-1.721,4.716
0.420461,-0.310,4.510,-1.800,4.865
0.422939,-0.224,4.848,-2.001,5.250
0.424898,-0.183,4.956,-2.053,5.367
0.432122,-0.138,5.058,-2.098,5.478
0.435077,0.098,5.513,-2.238,5.951
0.436761,0.164,5.643,-2.267,6.083
0.443372,0.233,5.777,-2.291,6.219
0.446589,0.525,6.339,-2.369,6.787
0.449088,0.602,6.471,-2.383,6.922
0.454082,0.677,6.599,-2.401,7.054
0.456659,0.893,6.967,-2.513,7.460
0.458733,0.959,7.087,-2.567,7.599
0.464854,1.020,7.200,-2.629,7.733
0.467163,1.190,7.507,-2.833,8.112
0.470887,1.286,7.669,-2.976,8.326
0.475767,1.334,7.735,-3.044,8.419
0.478599,1.460,7.871,-3.238,8.636
0.480678,1.502,7.896,-3.299,8.688
0.495293,1.541,7.906,-3.358,8.726
0.498595,1.845,7.586,-3.767,8.668
0.500981,1.882,7.509,-3.810,8.628
0.502634,1.921,7.433,-3.854,8.590
0.509234,1.961,7.347,-3.893,8.543
0.511263,2.086,7.062,-3.997,8.378
0.514299,2.179,6.851,-4.050,8.252
0.520217,2.226,6.737,-4.070,8.180
0.522459,2.376,6.381,-4.117,7.957
0.524245,2.423,6.262,-4.128,7.882
0.531591,2.507,6.017,-4.146,7.725
0.534950,2.592,5.644,-4.184,7.489
0.536256,2.602,5.519,-4.199,7.407
0.543288,2.611,5.396,-4.218,7.330
0.546214,2.567,4.910,-4.301,7.014
0.548214,2.541,4.786,-4.320,6.930
0.554434,2.512,4.660,-4.338,6.844
0.558405,2.359,4.070,-4.377,6.425
0.565335,2.319,3.900,-4.379,6.306
0.568307,2.156,3.195,-4.358,5.818
0.570440,2.123,3.016,-4.345,5.699
0.576459,2.091,2.847,-4.327,5.586
0.580248,2.036,2.293,-4.230,5.224
0.582171,2.040,2.193,-4.199,5.158
0.586985,2.053,2.105,-4.166,5.099
0.590124,2.137,1.904,-4.047,4.957
0.592170,2.177,1.859,-4.003,4.922
0.598448,2.227,1.825,-3.957,4.894
0.600762,2.400,1.793,-3.837,4.868
0.604097,2.531,1.795,-3.753,4.869
0.609641,2.599,1.794,-3.693,4.859
0.612098,2.816,1.791,-3.468,4.813
0.614175,2.887,1.785,-3.377,4.788
0.620744,2.956,1.778,-3.279,4.759
0.623901,3.171,1.725,-2.825,4.584
0.625897,3.210,1.704,-2.705,4.530
0.633646,3.237,1.678,-2.585,4.470
0.637204,3.272,1.580,-2.172,4.233
0.638266,3.262,1.564,-2.080,4.173
0.639923,3.245,1.533,-1.990,4.103
0.642796,3.222,1.492,-1.901,4.028
0.643783,3.192,1.453,-1.813,3.948
0.645914,3.163,1.416,-1.721,3.869
0.654059,3.096,1.333,-1.542,3.706
0.657447,2.956,1.112,-1.213,3.383
0.659735,2.917,1.058,-1.135,3.304
0.668511,2.876,1.001,-1.058,3.224
0.679335,2.666,0.700,-0.688,2.841
0.681308,2.428,0.415,-0.336,2.486
0.689631,2.378,0.357,-0.269,2.419
0.693497,2.138,0.104,-0.008,2.140
0.706816,2.093,0.071,0.029,2.094
0.709327,1.756,-0.139,0.296,1.787
0.712970,1.714,-0.146,0.336,1.753
0.713604,1.674,-0.146,0.377,1.723
0.715257,1.638,-0.129,0.418,1.696
0.720582,1.603,-0.125,0.461,1.673
0.720708,1.568,-0.117,0.506,1.652
0.721464,1.540,-0.098,0.551,1.639
0.723126,1.515,-0.076,0.595,1.629
0.725287,1.493,-0.052,0.640,1.626
0.731525,1.480,-0.025,0.684,1.630
0.735201,1.449,0.108,0.838,1.677
0.737352,1.453,0.155,0.865,1.698
0.743768,1.461,0.198,0.887,1.721
0.745822,1.488,0.318,0.970,1.804
0.749425,1.515,0.407,1.039,1.881
0.755148,1.530,0.453,1.077,1.925
0.757364,1.579,0.591,1.176,2.056
0.759207,1.595,0.636,1.204,2.097
0.765307,1.612,0.693,1.237,2.146
0.767538,1.667,0.834,1.333,2.292
0.771031,1.707,0.906,1.391,2.382
0.776426,1.726,0.937,1.415,2.420
0.779279,1.729,0.903,1.461,2.437
0.781040,1.671,0.819,1.462,2.367
0.787779,1.580,0.711,1.451,2.260
0.791043,0.888,0.025,1.301,1.575
0.792946,0.636,-0.220,1.237,1.408
0.799364,0.355,-0.488,1.166,1.312
0.802863,-0.765,-1.505,0.842,1.886
0.805144,-0.996,-1.680,0.758,2.095
0.810327,-1.193,-1.817,0.674,2.276
0.812850,-1.621,-1.975,0.405,2.587
0.815053,-1.701,-1.928,0.330,2.592
0.821243,-1.750,-1.839,0.271,2.554
0.824764,-1.602,-1.319,0.287,2.095
0.826790,-1.490,-1.174,0.355,1.930
0.832472,-1.353,-1.034,0.439,1.759
0.834822,-0.841,-0.667,0.755,1.312
0.836780,-0.650,-0.561,0.861,1.216
0.843568,-0.461,-0.460,0.963,1.163
0.846939,0.245,-0.057,1.249,1.274
0.848833,0.401,0.048,1.276,1.339
0.854806,0.546,0.158,1.284,1.404
0.858773,1.023,0.576,1.139,1.635
0.860806,1.096,0.646,1.071,1.663
0.865981,1.158,0.715,0.998,1.688
0.868977,1.280,0.859,0.793,1.734
0.870855,1.275,0.890,0.738,1.721
0.876745,1.239,0.928,0.698,1.698
0.878909,1.130,1.022,0.595,1.635
0.882772,1.059,1.022,0.509,1.557
0.887965,1.018,0.986,0.469,1.493
0.890646,0.891,0.809,0.370,1.259
0.892756,0.848,0.747,0.344,1.181
0.898942,0.806,0.682,0.324,1.105
0.902439,0.634,0.386,0.282,0.794
0.904726,0.589,0.299,0.290,0.721
0.910609,0.543,0.213,0.302,0.657
0.914065,0.517,-0.004,0.318,0.606
0.914757,0.529,-0.046,0.328,0.624
0.921619,0.535,-0.098,0.346,0.644
0.924590,0.574,-0.298,0.423,0.773
0.926694,0.584,-0.357,0.437,0.812
0.932577,0.587,-0.412,0.444,0.844
0.934752,0.548,-0.615,0.424,0.927
0.938366,0.517,-0.682,0.356,0.926
0.943915,0.517,-0.684,0.312,0.912
0.946465,0.539,-0.607,0.189,0.833
0.948382,0.536,-0.568,0.168,0.798
0.955222,0.534,-0.544,0.162,0.779
0.958308,0.599,-0.458,0.161,0.771
0.960465,0.620,-0.442,0.160,0.778
0.967066,0.637,-0.428,0.151,0.782
0.970309,0.625,-0.231,0.100,0.674
0.972044,0.524,-0.124,0.035,0.540
0.979123,0.409,-0.055,-0.020,0.413
0.982295,0.036,0.334,-0.117,0.355
0.987916,-0.086,0.501,-0.148,0.529
0.990540,-0.386,0.860,-0.275,0.982
0.991943,-0.350,0.893,-0.334,1.016
0.994190,-0.257,0.914,-0.397,1.029
0.998917,-0.184,0.964,-0.450,1.080
0.999014,-0.175,1.099,-0.496,1.218
1.000020,-0.223,1.414,-0.515,1.521
1.002182,-0.289,1.680,-0.492,1.774
1.004020,-0.328,1.835,-0.444,1.916
1.010515,-0.328,1.886,-0.370,1.949
1.014723,0.006,1.363,-0.048,1.364
1.016440,0.115,1.094,0.018,1.100
1.022194,0.210,0.791,0.056,0.820
1.024462,0.310,-0.111,0.043,0.332
1.026209,0.323,-0.463,0.024,0.565
1.032748,0.330,-0.814,-0.001,0.878
1.035934,0.315,-1.846,-0.253,1.890
1.037923,0.297,-1.970,-0.344,2.022
1.043619,0.275,-2.034,-0.428,2.097
1.046000,0.213,-1.967,-0.693,2.097
1.047898,0.188,-1.855,-0.786,2.024
1.049850,0.167,-1.729,-0.883,1.948
1.054675,0.150,-1.601,-0.964,1.875
1.054765,0.118,-1.463,-1.030,1.793
1.055673,0.091,-1.352,-1.095,1.742
1.058134,0.074,-1.267,-1.147,1.711
1.059833,0.068,-1.193,-1.184,1.682
1.066177,0.065,-1.111,-1.207,1.641
