# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 21:11:33.487
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.007539,0.209,0.041,0.070,0.224
0.014834,0.238,0.256,0.052,0.353
0.017937,0.225,0.487,0.031,0.538
0.019932,0.219,0.517,0.028,0.562
0.021800,0.208,0.536,0.025,0.576
0.023855,0.198,0.552,0.026,0.587
0.036073,0.187,0.564,0.027,0.595
0.039701,0.061,0.497,0.068,0.505
0.041807,0.040,0.466,0.077,0.474
0.043671,0.015,0.434,0.084,0.442
0.045667,-0.005,0.402,0.093,0.413
0.065090,-0.030,0.378,0.103,0.393
0.075099,-0.162,0.221,0.218,0.350
0.087532,-0.164,0.164,0.359,0.427
0.095902,-0.128,0.152,0.472,0.512
0.105503,-0.122,0.170,0.505,0.547
0.118354,-0.177,0.156,0.495,0.549
0.129298,-0.268,0.200,0.502,0.603
0.135531,-0.345,0.218,0.551,0.685
0.144267,-0.391,0.089,0.571,0.698
0.153496,-0.389,0.144,0.531,0.673
0.157187,-0.345,0.213,0.510,0.652
0.163172,-0.332,0.232,0.510,0.651
0.165534,-0.281,0.282,0.510,0.647
0.167334,-0.260,0.295,0.508,0.642
0.173877,-0.235,0.305,0.508,0.638
0.175875,-0.152,0.358,0.512,0.644
0.179351,-0.079,0.403,0.518,0.661
0.185294,-0.038,0.430,0.523,0.678
0.189398,0.133,0.599,0.699,0.930
0.196951,0.179,0.642,0.763,1.013
0.199264,0.386,0.678,1.037,1.297
0.201382,0.436,0.667,1.101,1.360
0.207148,0.484,0.651,1.160,1.416
0.209559,0.564,0.536,1.241,1.465
0.211157,0.565,0.469,1.230,1.433
0.219184,0.523,0.301,1.158,1.306
0.221280,0.386,0.005,0.968,1.042
0.223227,0.332,-0.087,0.900,0.964
0.230258,0.277,-0.173,0.832,0.894
0.232992,0.073,-0.448,0.616,0.765
0.234820,0.023,-0.511,0.567,0.763
0.241222,-0.023,-0.574,0.517,0.772
0.244966,-0.181,-0.847,0.372,0.943
0.252266,-0.217,-0.950,0.337,1.031
0.255004,-0.327,-1.374,0.284,1.440
0.256878,-0.349,-1.481,0.288,1.549
0.262943,-0.368,-1.579,0.295,1.648
0.265126,-0.417,-1.831,0.352,1.910
0.268614,-0.441,-1.954,0.413,2.046
0.274834,-0.453,-2.000,0.445,2.098
0.276858,-0.494,-2.139,0.557,2.264
