# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-10 21:10:53.315
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001659,-0.2167,-0.0072,-0.5407,0.58
0.013721,-0.2251,-0.0553,-0.3865,0.45
0.026246,-0.0715,-0.1211,-0.4381,0.46
0.038753,-0.0206,-0.1740,-0.4535,0.49
0.038862,-0.0505,-0.2868,-0.3635,0.47
0.051766,-0.5412,-0.6195,-0.6388,1.04
0.064584,-0.2508,-0.4492,0.4339,0.67
0.077528,0.4627,0.2888,1.2045,1.32
0.078448,1.0173,0.9061,0.9289,1.65
0.089482,1.4936,1.0747,0.4111,1.89
0.103355,-0.5416,-0.4130,0.4412,0.81
0.115634,-0.4280,-0.6639,0.6481,1.02
0.128843,0.7435,-0.0102,0.1189,0.75
0.128934,1.0415,-0.0855,-0.9938,1.44
0.137689,0.4074,-0.8236,-1.5434,1.80
0.160431,-0.2646,-1.5035,-1.4478,2.10
0.160518,-0.3537,-1.2760,-1.1816,1.77
0.171819,1.3681,0.9931,-2.0759,2.68
0.184689,3.2001,2.5176,-3.4953,5.37
0.189996,2.9526,0.6491,-3.6500,4.74
0.207539,0.3844,-2.5995,-1.8259,3.20
0.220059,0.7810,-2.2953,-0.5834,2.49
0.233019,1.4327,-1.4774,1.4155,2.50
0.245943,1.8492,-0.7067,2.3525,3.07
0.247129,1.9786,-0.2943,2.7766,3.42
0.271183,1.3525,-0.4070,2.6899,3.04
0.287071,-0.9077,-0.4497,4.0440,4.17
0.297896,-0.8702,-0.0168,3.9564,4.05
0.311425,4.6997,3.8970,-12.3731,13.80
0.316775,5.2185,7.1950,-14.5541,17.05
0.336386,-1.6505,-0.5694,1.0714,2.05
0.336657,-0.4325,-3.7577,1.3701,4.02
0.359012,2.7443,-1.9511,-0.9452,3.50
0.359247,2.0885,-0.4614,-3.2792,3.92
0.366460,-1.3897,0.3125,-3.5555,3.83
0.378991,-2.8217,0.1600,-2.0002,3.46
0.392409,-2.2990,0.1810,1.9436,3.02
0.405339,-1.6901,1.0041,3.9471,4.41
0.418355,-1.2430,1.5151,4.0906,4.54
0.418593,-0.6865,1.1323,2.4667,2.80
0.439485,0.5279,0.2241,-0.8506,1.03
0.439720,1.0238,0.0167,-2.2695,2.49
0.457063,0.7304,0.3193,-2.5291,2.65
0.457194,-0.1277,0.4912,-2.4623,2.51
0.466673,-0.6726,0.3782,-1.6651,1.84
0.476393,-0.5741,0.7512,-0.5729,1.11
0.488683,-0.5062,1.1437,-1.3772,1.86
0.502386,1.0743,0.7050,-2.9086,3.18
0.505847,0.5865,0.4211,-1.5443,1.70
0.517646,-0.0572,0.2767,-1.3735,1.40
0.531108,0.3721,0.2051,0.6162,0.75
0.544886,0.9766,0.5327,1.4507,1.83
0.545569,1.6697,1.0407,0.1629,1.97
0.557862,1.9259,2.2604,1.4257,3.29
0.565376,1.3903,3.7194,-0.5901,4.01
0.575640,-1.6631,1.0025,-0.7754,2.09
0.587091,-2.1842,-0.3347,1.1515,2.49
0.601065,-1.7028,-1.7053,5.4919,6.00
0.614237,-2.2337,-1.2591,0.0167,2.56
0.615365,-1.9247,-0.5421,3.3422,3.89
0.629998,-0.1998,0.6307,-4.4025,4.45
0.644609,-0.4672,1.3064,-4.5983,4.80
0.645054,1.3341,2.4541,-4.1841,5.03
0.658060,1.9929,3.2935,-4.3759,5.83
0.664910,3.0946,3.5560,-1.9210,5.09
0.675526,4.2652,3.6352,-2.4933,6.13
0.687635,-0.0850,3.4687,-6.0015,6.93
0.701246,-0.0324,1.7365,-5.5146,5.78
0.705084,1.2572,1.2906,-3.7425,4.15
0.726663,0.0630,0.6686,-2.7335,2.81
0.726755,-0.8221,-0.1179,-1.6809,1.87
0.734625,-0.8501,-0.5210,-0.3394,1.05
0.744539,-0.0998,-0.7153,0.4803,0.87
0.754722,-0.8866,-0.6980,1.8652,2.18
0.768342,-1.4973,-0.6617,2.7751,3.22
0.775426,-0.9724,-1.0814,2.5876,2.97
0.794292,-0.8152,-1.4851,2.1115,2.71
0.794510,-1.4057,-1.3544,1.8844,2.71
0.807867,-1.4288,-1.1561,1.5794,2.42
0.821547,-1.4885,-1.2817,0.7288,2.10
0.836716,-0.7822,-1.2462,0.1269,1.48
0.836782,-0.8017,-2.2692,0.5308,2.46
0.843997,0.7148,-2.2486,1.0846,2.60
0.854608,2.2114,-1.9975,0.6630,3.05
0.867897,1.7524,-1.6239,-0.0206,2.39
0.882134,1.3222,-0.2170,0.3084,1.37
0.884054,1.1973,1.2331,0.1391,1.72
0.896593,0.4750,2.5533,1.1125,2.83
0.910467,1.3024,3.2748,1.3104,3.76
0.924219,2.0177,2.2547,0.3386,3.04
0.924302,1.5090,-0.0683,-0.7164,1.67
0.934196,0.2471,-1.3804,-0.2382,1.42
0.943903,1.2894,-1.2451,0.6410,1.90
0.954819,3.6261,-0.2471,2.9599,4.69
0.968456,4.2807,-0.6093,3.2855,5.43
0.981640,4.5059,-1.6865,2.6051,5.47
0.983505,4.5149,-1.6982,2.0224,5.23
0.997173,3.9228,-1.8137,1.4628,4.56
1.004103,4.3047,-1.4506,0.6120,4.58
1.013354,5.5187,-0.9268,0.7975,5.65
1.025059,6.7165,-1.0358,0.7239,6.83
1.038528,7.7540,-1.2779,0.5286,7.88
1.052169,8.3064,-0.7015,0.7735,8.37
1.065713,8.7974,0.0454,1.0319,8.86
1.065803,8.5422,-0.1576,0.3132,8.55
1.078991,6.7227,-1.1663,-0.0554,6.82
1.092454,3.4502,-2.9063,-0.3340,4.52
1.106168,1.1271,-4.5015,-0.3158,4.65
1.106276,-0.0309,-4.9602,0.3660,4.97
1.119475,-1.2615,-5.1424,1.1303,5.41
1.133489,-2.7211,-4.4007,0.1863,5.18
1.133562,-4.3191,-4.9317,-1.4337,6.71
1.147318,-5.9599,-4.8558,-1.8001,7.90
1.160784,-5.5090,-4.3506,-1.8044,7.25
1.174527,-5.3742,-4.2505,-1.2252,6.96
1.174647,-5.6819,-4.1992,-0.7330,7.10
1.188387,-5.5949,-3.7527,-0.7191,6.78
1.201815,-4.9237,-3.0043,-0.6492,5.80
1.215282,-4.0770,-2.4975,0.5677,4.81
1.215442,-4.0076,-2.1067,2.1457,5.01
1.228674,-4.3641,-1.8015,2.7956,5.49
1.242399,-5.2125,-1.8480,2.9922,6.29
1.242790,-5.6497,-1.6156,2.7907,6.51
1.255845,-5.3255,-0.9902,2.2360,5.86
1.269971,-4.1724,-0.1126,2.7853,5.02
1.283387,-1.8650,0.7629,4.2741,4.73
1.283546,0.8780,1.8149,6.0001,6.33
1.297160,2.3729,2.5721,7.1259,7.94
1.310984,4.0552,3.3021,7.5418,9.18
1.324993,5.1651,4.4615,6.7787,9.62
1.325285,5.8011,5.2687,5.3569,9.49
1.349268,6.8886,6.1277,2.7289,9.62
1.349606,7.6773,7.1827,-0.9737,10.56
1.368173,9.8623,9.0130,-2.5129,13.59
1.368453,12.0202,10.0216,-4.2782,16.22
1.382139,13.2011,10.0258,-5.6833,17.52
1.382444,11.0634,8.6890,-4.3310,14.72
1.391417,9.7330,7.1917,-2.7128,12.40
1.407178,8.0033,6.5148,-4.8421,11.40
1.411485,5.8528,6.1146,-7.2034,11.11
1.421500,4.6411,6.1968,-8.7207,11.66
1.435532,4.1958,6.2107,-9.4994,12.10
1.450524,3.1882,5.0627,-7.7573,9.80
1.451564,2.1317,3.6214,-5.0942,6.60
1.465709,0.8133,2.5882,-3.2134,4.21
1.480111,-0.2880,2.0607,-3.0555,3.70
1.493916,0.2636,3.4046,-3.8426,5.14
1.500782,1.0404,2.8224,-1.6967,3.45
1.511476,-0.5335,0.8932,-0.7554,1.29
1.521139,-2.2152,-0.1800,-1.0482,2.46
1.531602,-2.9914,-1.2437,-0.7440,3.32
1.541307,-0.2178,-0.2040,2.0942,2.12
1.554240,1.0977,-3.0620,3.8148,5.01
1.560558,1.2392,-3.5008,4.0859,5.52
1.578040,1.1383,-3.6851,2.6628,4.69
1.580429,2.0919,-4.1319,1.9139,5.01
1.591401,2.4785,-3.8966,1.9219,5.00
1.600336,2.4981,-3.7319,1.4853,4.73
1.611063,2.9361,-4.3950,2.1477,5.71
1.621430,3.1236,-4.6362,2.1736,6.00
1.630702,2.9582,-4.0085,0.2516,4.99
1.643335,3.1357,-3.0038,-1.7974,4.70
1.650957,4.3437,-0.9412,-3.0333,5.38
1.667093,5.2566,1.2545,-3.4079,6.39
1.671608,5.8298,2.7316,-2.4477,6.89
1.679986,5.7061,3.7221,-2.4621,7.24
1.690662,6.4397,4.0306,-1.1910,7.69
1.699744,7.4880,4.5584,1.2971,8.86
1.710331,1.6607,5.6301,-3.3640,6.77
1.719713,2.0779,5.0798,-6.2342,8.31
1.731789,0.6047,4.6668,-2.1832,5.19
1.739517,-4.2726,4.3090,-7.9734,10.02
1.754598,-6.4600,2.1558,-6.8785,9.68
1.759454,-2.6500,1.9016,-3.7607,4.98
1.769412,-1.9562,2.4283,-0.7330,3.20
1.779772,-2.7059,0.2597,-0.6081,2.79
1.790128,-0.3742,-0.3655,-1.3781,1.47
1.799484,0.0338,-0.8252,-2.6882,2.81
1.809929,0.4139,-1.9322,-5.5891,5.93
1.822218,1.0223,1.5175,-4.7337,5.07
1.829811,1.9472,0.9521,-0.1682,2.17
1.843028,3.0171,-2.1518,0.6767,3.77
1.849405,2.6719,-4.1205,-0.6822,4.96
1.859060,1.5364,-3.0142,-0.0959,3.38
1.869005,1.1735,-2.7677,0.9733,3.16
1.879036,1.8055,-2.8404,1.9422,3.89
1.889101,0.3676,-2.1672,0.9406,2.39
1.899721,1.4220,-2.4258,0.5193,2.86
1.910842,2.0929,-3.0394,2.5587,4.49
1.919463,2.3139,-2.7308,2.9029,4.61
1.932164,4.0410,-2.7222,6.0395,7.76
1.939371,3.8578,-3.0241,8.6997,9.99
1.948651,-0.1236,-4.8452,6.7932,8.35
1.958489,-3.2908,-4.9059,4.5196,7.44
1.969076,-3.9173,-5.0013,3.7819,7.39
1.978779,-4.6244,-4.0204,2.7040,6.70
1.989138,-4.3066,-4.1392,2.7819,6.59
2.000293,-4.2121,-3.6795,3.1436,6.42
2.008896,-4.9339,-3.3934,1.9633,6.30
2.022412,-4.1448,-2.7068,1.0011,5.05
2.027948,-3.9748,-1.2599,0.6720,4.22
2.037988,-2.8159,-0.6452,1.0156,3.06
2.049303,-1.9511,0.0013,2.6199,3.27
2.058453,-0.7147,0.6003,3.5804,3.70
2.068454,2.0530,1.6224,3.1774,4.12
2.079394,5.2267,3.7563,1.7352,6.67
2.089156,3.6517,4.0406,1.0689,5.55
2.098727,2.9097,3.8289,-0.9846,4.91
2.111582,2.1993,3.7140,-2.2453,4.87
2.117673,2.1328,3.8358,-2.8114,5.21
2.132729,1.0349,3.1171,-2.9101,4.39
2.137493,0.3111,2.7891,-3.7962,4.72
2.147638,0.3517,2.6889,-4.5276,5.28
2.157399,3.1294,3.9460,-4.5509,6.79
2.167914,3.9278,4.8315,-3.8641,7.33
2.177778,0.9190,3.1270,-4.3044,5.40
2.188330,-0.9974,1.5239,-5.2452,5.55
2.200007,0.0966,1.4300,-4.7589,4.97
2.207712,-0.5017,0.7573,-4.7700,4.86
2.222534,-2.6060,-0.1335,-6.3014,6.82
2.227150,-4.2493,-1.0071,-6.7669,8.05
2.236999,-3.9440,-1.7499,-4.0686,5.93
2.247163,-1.1525,-1.9336,0.4556,2.30
2.258139,1.6581,-0.9323,5.2632,5.60
